Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,strain
cJNpbobJyTYxai5oF,Skywalker HTSFE,Concentrate,2017-06-19,2017-06-19,2.0,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.05,0.17,0.54,0.41,0.0,2.12,3.88,0.0,0.42,3.1,0.0,0.0,,6.29,0.01,43.24,0.01,0.0,1.16,0.01,,,11.1,1.83,0.54,,skywalker-htsfe
cKBEG6cEY46wT8Yac,Money Maker Shatter,Concentrate,2016-04-27,2016-04-28,2.0,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.05,0.22,0.17,0.0,0.51,0.16,0.0,0.09,0.13,0.0,0.0,,60.4,,,0.39,0.89,,0.57,,,,1.88,0.89,,money-maker-shatter
cSWG3MW2TLRiaWW7r,Plat. Cookie Sauce-24HR,Concentrate,2017-06-12,2017-06-12,,0.0,0.0,,,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.13,1.74,0.17,0.0,3.24,1.48,0.0,0.0,2.03,0.0,0.0,,4.64,0.01,55.39,0.01,0.01,0.61,0.01,,,5.21,0.52,0.38,,plat-cookie-sauce-24hr
cSwjqKWas97MG7wRC,Platinum Banana OG,Concentrate,2017-06-06,2017-06-06,12.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.04,0.2,0.11,0.0,0.67,0.34,0.0,0.02,0.49,0.0,0.0,,3.39,0.01,80.39,0.01,0.01,0.42,0.01,,,3.12,0.48,0.01,,platinum-banana-og
cTmC2wQftqCqnzpew,Dark Triangle One,Concentrate,2016-06-14,2016-06-15,32.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.02,0.23,0.01,0.0,0.46,0.04,0.03,0.0,0.12,0.0,0.0,,63.7,,,0.34,0.0,,0.48,,,,1.34,0.68,,dark-triangle-one
cbrdhQtiEtyQRqrEs,Successful Stoner Sour Kush Cured Resin,Concentrate,,,90.0,,,0.0,0.0,,0.0,0.09,0.0,0.0,0.0,0.2,0.0,1.21,0.0,0.05,0.14,0.7,0.3,0.01,1.04,0.34,0.02,0.14,1.69,0.01,0.0,,,,,,,,,,,,,,,successful-stoner-sour-kush-cured-resin
cgtMgGTgqxdeuc268,Gorilla Glue Headband,Concentrate,2016-08-18,2016-08-20,98.0,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.11,0.5,0.09,0.0,1.1,0.45,0.0,0.06,0.75,0.0,0.0,,58.6,,,0.3,0.4,,0.48,,,,2.22,0.53,,gorilla-glue-headband
ci8GRigkQYNkDFYvq,Flower Ice Rosin,Concentrate,2017-02-03,2017-02-07,,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.06,0.0,0.19,0.0,0.5,0.05,0.04,0.32,0.0,0.23,0.38,0.29,0.08,1.31,0.0,0.0,,62.7,,,1.74,0.21,,0.5,,,,2.61,0.8,,flower-ice-rosin
ciRY8Zdmx3amWXjEM,GG 4 Rosin DO,Concentrate,2017-06-15,2017-06-15,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48,0.01,70.61,0.01,0.01,0.45,0.01,,,2.15,0.53,0.06,,gg-4-rosin-do
cibSHpjwCqtmMX4ew,Cookies n Cream x GSC - LR,Concentrate,2017-05-22,2017-05-25,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.04,0.5,0.05,0.0,1.01,0.24,0.03,0.0,0.38,0.0,0.0,81.3,1.8,,,0.0,0.0,0.18,0.0,,,3.57,0.36,0.12,,cookies-n-cream-x-gsc-lr
