Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,strain
,Orang Turbo (16905),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.013000000000000001,0.083,0.018000000000000002,0.0,0.262,0.054000000000000006,,0.034,0.27699999999999997,0.0,0.0,,0.31,0.0,18.39,0.02,0.0,0.08,0.0,0.0,0.0,0.44,0.07,0.02,,orang-turbo
,Cherry Berry (16906),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.035,0.018000000000000002,0.0,0.013000000000000001,0.037000000000000005,0.040999999999999995,0.0,0.154,0.10099999999999999,,0.04,0.22399999999999998,0.0,0.0,,0.27,0.0,17.34,0.02,0.0,0.09,0.0,0.0,0.0,0.78,0.04,0.0,,cherry-berry
,Cosmic Collision (7204),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.001,0.0,0.025,0.086,0.024,0.0,0.21600000000000003,0.42100000000000004,,0.021,0.06,0.0,0.0,,0.52,0.0,19.14,0.02,0.0,0.06,0.0,0.0,0.0,0.24,0.07,0.05,,cosmic-collision
,Orange Creamsicle (7205),"Flower, Inhalable",2016-11-04,,162,,,,,,0.006,0.0,0.0,0.0,0.003,0.05,0.0,0.008,0.11199999999999999,0.266,0.004,0.009000000000000001,0.018000000000000002,0.0,0.036000000000000004,0.10300000000000001,,0.027999999999999997,0.07400000000000001,0.0,0.0,,0.42,0.0,13.51,0.03,0.0,0.07,0.0,0.0,0.0,1.12,0.05,0.0,,orange-creamsicle
,Purple Snow Bubba (7206),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.055999999999999994,0.013000000000000001,0.0,0.024,0.04,0.0,0.0,0.168,0.45899999999999996,,0.004,0.025,0.0,0.0,,0.42,0.0,23.01,0.01,0.0,0.04,0.0,0.0,0.0,0.67,0.13,0.04,,purple-snow-bubba
,Mendo Purple Urkle (7207),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.134,0.023,0.0,0.073,0.087,0.12300000000000001,0.0,0.32799999999999996,0.263,,0.09,0.42,0.0,0.0,,0.53,0.0,17.84,0.04,0.0,0.04,0.0,0.0,0.0,0.12,0.05,0.0,,mendo-purple-urkle
,Sapphire Scout (10801),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.142,0.015,0.0,0.38,0.233,,0.028999999999999998,0.22399999999999998,0.0,0.0,,0.88,0.0,21.5,0.01,0.0,0.07,0.0,0.0,0.0,0.94,0.12,0.07,,sapphire-scout
,Purple Panty Dropper (0714),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.015,0.0,0.0,0.027000000000000003,0.048,0.109,0.0,0.168,0.478,,0.049,0.08,0.0,0.0,,0.43,0.01,11.65,0.01,0.0,0.05,0.0,0.0,0.0,0.29,0.03,0.05,,purple-panty-dropper
,Blue Dream (18401),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.001,0.0,0.005,0.0,0.0,0.0,0.022000000000000002,0.0,0.0,0.02,0.048,0.5329999999999999,0.0,0.147,0.8009999999999999,,0.218,0.077,0.0,0.0,,0.86,0.0,21.75,0.01,0.0,0.09,0.0,0.0,0.0,0.61,0.04,0.0,,blue-dream
,Ogre (9801),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.034,0.048,0.0,0.032,0.098,0.005,0.0,0.36700000000000005,0.8759999999999999,,0.017,0.12300000000000001,0.0,0.0,,0.52,0.0,22.71,0.03,0.0,0.08,0.0,0.0,0.0,0.7,0.07,0.0,,ogre
