strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
co2-trainwreck-430,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,1.68,,2.09,0.0,,0.0,1.72,,,39.58,35.36,,,,0.39,0.18,0.64,,,0.88,1.36,1.66,,1,0,0
co2-v,,,,,,,,0.88,,,,,0.0,,3.02,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,19.78,38.86,0.74,,,0.6,1.12,0.72,,,0.55,0.94,1.11,,1,0,0
co2-vape-oil-larry-og,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,22.86,15.78,0.25,,,0.29,0.36,0.13,,,0.34,0.4,0.46,,1,0,0
co2-vapor-oil-afgoo,,,,,,,,0.0,,,,,0.0,,0.0,,0.64,0.0,,0.09,1.33,,0.0,0.0,,,35.19,39.71,,,,1.01,0.22,0.72,,,1.54,,0.95,,1,0,0
co2-vapor-oil-grand-daddy-purple,,,,,,,,0.0,,,,,0.0,,0.61,,1.53,1.26,,1.82,0.0,,0.0,0.0,,,50.38,23.16,,,,0.58,0.3,0.66,,,1.08,,0.73,,1,0,0
co2-vapor-oil-green-crack,,,,,,,,0.0,,,,,0.0,,0.0,,0.98,1.94,,1.3,0.89,,0.0,0.0,,,31.47,38.63,,,,0.9,0.22,0.61,,,1.24,,0.94,,1,0,0
co2-vapor-oil-headband,,,,,,,,0.0,,,,,0.0,,0.0,,0.96,0.51,,0.49,1.04,,0.0,0.0,,,31.39,42.32,,,,1.1,0.19,0.67,,,1.49,,0.99,,1,0,0
co2-vapor-oil-island-sweet-skunk,,,,,,,,0.0,,,,,0.0,,0.0,,0.72,2.01,,1.11,0.27,,0.0,0.0,,,29.28,39.24,,,,0.54,0.18,0.57,,,1.27,,0.95,,1,0,0
co2-vapor-oil-romulan,,,,,,,,0.0,,,,,0.0,,0.0,,0.5,0.0,,3.01,0.0,,0.0,0.0,,,29.56,36.45,,,,0.42,0.25,0.71,,,0.45,,0.82,,1,0,0
co2-vapor-oil-strawberry-cough,,,,,,,,0.0,,,,,0.0,,0.0,,1.04,0.7,,0.43,0.08,,0.0,0.0,,,32.93,38.55,,,,0.91,0.23,0.62,,,1.23,,0.9,,1,0,0
co2-vapor-oil-white-widow,,,,,,,,0.0,,,,,0.0,,0.0,,1.36,0.95,,0.51,0.0,,0.0,0.0,,,34.3,36.75,,,,0.88,0.24,0.65,,,1.41,,0.88,,1,0,0
co2-wax,,,,,,,,0.0,,,,,0.44,,0.0,,0.0,0.0,,3.86,0.0,,0.0,0.0,,,12.72,48.02,,,,0.24,0.12,0.86,,,1.37,,1.32,,1,0,0
co2-white-cake,,,,,,,,0.0,,,,,0.0,,0.94,,1.28,0.0,,3.28,0.18,,0.0,0.0,,,34.89,37.16,,,,0.51,0.25,0.56,,,0.94,,0.89,,1,0,0
co2-white-diesel-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,25.55,36.68,,,,,,,,,,0.06,,,1,0,0
co2-white-russian,,,,,,,,0.0,,,,,0.0,,0.0,,3.69,0.64,,1.14,0.0,,0.0,0.0,,,21.78,39.49,,,,0.71,0.09,0.26,,,0.96,1.41,1.11,,1,0,0
co2-white-russian-batch-322,,,,,,,,3.31,,,,,0.0,,0.5,,0.83,0.0,,1.15,0.0,,0.0,2.37,,,11.71,50.26,,,,0.87,0.09,0.3,,,0.84,1.1,1.41,,1,0,0
co2-white-widow-1,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,5.78,0.0,,0.0,0.0,,,40.08,12.7,,,,0.39,0.15,0.39,,,1.6,,1.23,,1,0,0
co2-white-widow-3,,,,,,,,0.0,,,,,0.0,,0.0,,1.97,0.0,,8.03,0.0,,0.0,0.0,,,7.33,52.64,,,,0.84,0.04,0.43,,,0.27,2.08,6.16,,1,0,0
co2-white-widow-cookies,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,1.29,1.4,,0.0,0.0,,,20.06,47.49,,,,0.27,0.14,0.24,,,0.57,,0.83,,1,0,0
co2-white-widow-oil-raw,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,44.25,,,,1.04,,,,,,,6.71,,1,0,0
co2-widow-blend,,,,,,,,0.5,,,,,5.32,,0.0,,0.53,2.82,,3.36,0.0,,0.0,0.0,,,21.82,33.19,,,,0.07,0.51,0.56,,,1.22,1.5,2.25,,1,0,0
co2-willies-wonder,,,,,,,,0.0,,,,,0.0,,0.0,,2.69,0.09,,0.0,1.48,,0.0,0.0,,,58.13,17.41,,,,0.14,0.23,0.37,,,1.57,,0.59,,1,0,0
co2-xxx-og,,,,,,,,0.0,,,,,4.88,,0.0,,3.86,1.11,,0.19,0.0,,0.0,0.0,,,43.08,24.42,,,,0.53,0.21,,,,0.89,1.05,0.55,,1,0,0
coast-m7-d,,,,,,0.0,0.003,0.003,0.014,0.0,0.061,0.0,0.025,0.011,0.039,0.18600000000000005,0.037000000000000005,0.049,0.002,0.112,0.08900000000000001,,0.033,0.103,0.0,0.0,,32.37,0.19,0.06,0.19,1.07,0.0,33.42,0.13,0.0,0.0,0.92,2.92,,0,0,1
coastal-collision,,,0.0,0.085,,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.11499999999999999,0.0,0.005,0.095,0.24,0.315,0.0,0.55,0.565,0.0,0.18,0.255,0.0,0.0,,25.9,,,0.0,0.0,,0.0,,,,0.0,0.0,15.0,0,2,0
coastal-mix,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.06,0.31,0.0,0.2,1.72,0.0,0.0,0.36,0.0,0.0,,17.3,,,0.0,0.0,,0.0,,,,0.0,0.0,19.0,0,1,0
cobalt-cookies-vape,,,,,,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.39,0.038,0.0,0.0,0.617,0.999,0.0,1.6669999999999998,1.839,,0.52,0.376,0.0,0.0,,64.17,0.0,7.48,0.23,0.19,0.0,0.0,0.0,0.0,0.08,0.71,0.66,,0,0,1
cobra,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,1.33,,0.0,0.0,,,15.83,0.99,,,,,0.05,0.08,,,1.29,,,,1,0,0
coco-berry,,,,,,,,0.43,,,,,2.24,,0.0,,0.44,0.69,,0.33,0.81,,0.0,0.0,,,14.115,0.20500000000000002,,,,0.01,0.105,0.13,,,1.22,,0.09,,2,0,0
coco-cheese-a,,,,,,,,0.62,,,,,1.48,,0.12,,0.31,0.0,,0.47,0.93,,0.0,1.75,,,13.38,0.63,,,,,0.15,0.12,,,0.31,0.2,0.04,,1,0,0
coco-cheese-b,,,,,,,,0.41,,,,,0.0,,0.11,,0.33,0.78,,0.19,0.61,,0.0,4.48,,,9.53,0.89,,,,,0.14,0.06,,,0.16,0.13,0.03,,1,0,0
cocoa-kush,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.34,,0.52,0.11,,0.0,0.0,,,21.14,0.31,,,,,0.05,0.3,,,2.42,,,,1,0,0
cocoberry,,,,,,,,,,,,,,,,,,,,,,,,,,,16.06,0.26,0.03,,,0.08,0.08,,,,,,,,1,0,0
coconut-oil-extract,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,8.75,,,,,1.78,8.24,,,,0.44,0.44,,1,0,0
code-blue,,,,,,,,0.0,,,,,0.0,,0.0,,1.1466666666666667,0.6266666666666666,,0.20666666666666667,0.05333333333333334,,0.0,0.0,,,25.044,0.44799999999999995,,,,0.075,0.054000000000000006,0.182,,,0.25333333333333335,,0.02,,5,0,0
coffee-gold,,,0.0,0.14,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.38,0.01,0.14,0.03,0.01,0.31,0.1,0.55,0.02,0.02,0.01,0.0,,6.3,,,0.7,0.02,,0.0,,,,0.39,0.05,14.0,0,1,0
coffee-kush,,,,,,0.0,0.006,0.019,0.0,0.021,0.037000000000000005,0.0,0.029,0.185,0.0,0.0,0.07,0.068,0.0,0.233,0.555,,0.033,0.057,0.0,0.0,,1.06,0.0,9.98,0.0,0.0,0.07,0.0,0.0,0.0,0.4,0.06,0.01,,0,0,1
cold-creek-kush,,,,,,0.0,0.01,0.008,0.0,0.004,0.0,0.0,0.08900000000000001,0.0,0.003,0.046,0.096,0.036000000000000004,0.0,0.312,0.478,,0.071,0.333,0.0,0.0,,2.03,0.0,18.74,0.0,0.0,0.04,0.0,0.0,0.0,0.5,0.13,0.03,,0,0,1
cold-ethanol-oleoresin-glue-4,,,,,,,,0.0,,,,,0.0,,0.0,,0.83,3.39,,1.56,0.0,,0.0,0.0,,,41.23,32.63,,,,0.53,0.29,0.12,,,0.63,,0.39,,1,0,0
colin-b-dunn-active-dry,,,,,,,,0.0,,,,,1.43,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.03,0.44,,,,,2.76,9.19,,,0.11,0.23,1.29,,1,0,0
colin-b-dunn-dry,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,1.81,0.35,,,0.05,,0.1,,1,0,0
colin-b-dunn-hash,,,,,,,,0.17,,,,,5.08,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.2,0.3,,,,,13.27,4.32,,,0.27,,0.45,,1,0,0
collossus,,,,,,,,0.0,,,,,0.0,,0.23,,0.0,0.0,,0.28,0.1,,0.0,0.0,,,11.64,2.54,,,,0.02,0.04,,,,0.47,,0.03,,1,0,0
colombian-sunk,,,,,,,,0.0,,,,,0.0,,0.0,,1.9,0.99,,0.0,0.86,,0.0,0.0,,,15.65,2.09,,,,,0.07,0.15,,,0.02,,0.1,,1,0,0
colonel-s-5857,,,,,,,,0.71,,,,,0.0,,0.0,,0.86,0.89,,0.11,0.0,,0.0,0.0,,,14.33,0.69,,,,,0.14,0.11,,,0.04,,0.11,,1,0,0
colorado-clementine-cured-cart,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.04,0.06,0.05,0.07,0.0,0.27,0.3,0.03,0.08,0.68,0.0,0.0,,3.71,0.01,55.39,0.01,0.01,0.01,0.01,,,1.1,0.01,0.57,,0,1,0
columbia-gold,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,1.35,,0.56,0.23,,0.0,0.0,,,13.86,0.6,,,,,0.05,0.04,,,0.07,,,,1,0,0
columbia-power-plant,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,0.17,,,,,0.04,,,,,0.06,,,1,0,0
columbian-deelite,,,,,,,,0.32,,,,,0.0,,0.82,,0.85,0.0,,0.0,0.34,,0.0,0.0,,,17.48,0.79,,,,,0.05,0.05,,,1.13,,,,1,0,0
columbian-gold,,,,,,,,0.122,,,,,0.0,,0.0,,1.334,0.0,,0.394,0.288,,0.0,0.0,,,16.424,0.236,,,,0.015,0.06,0.10800000000000001,,,0.078,,0.013333333333333334,,5,0,0
columbian-gold-2-1,,,,,,,,0.0,,,,,0.0,,0.0,,0.3,0.0,,0.23,0.0,,0.0,0.0,,,21.73,0.27,,,,0.02,0.07,0.14,,,0.07,,,,1,0,0
columbian-gold-4-1,,,,,,,,0.0,,,,,0.0,,0.0,,1.38,0.0,,1.01,0.0,,0.0,0.0,,,29.26,0.33,,,,,0.09,0.22,,,0.32,,0.02,,1,0,0
columbian-gold-42-1,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,20.06,0.29,,,,0.02,0.1,0.15,,,0.05,,,,1,0,0
columbian-gold-6-1,,,,,,,,0.0,,,,,0.0,,0.0,,0.75,0.0,,0.72,0.0,,0.0,0.0,,,28.4,0.38,,,,0.01,0.13,0.14,,,0.07,,0.03,,1,0,0
columbian-gold-6-3,,,,,,,,0.0,,,,,0.0,,0.0,,1.36,0.0,,0.86,0.0,,0.0,0.0,,,27.74,0.97,,,,,0.07,0.12,,,0.1,,0.03,,1,0,0
coma,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51,0.25,0.27,,,0.2,0.09,,,,,,,,1,0,0
coma-pressed-kief,,,,,,,,,,,,,,,,,,,,,,,,,,,26.29,2.33,,,,0.39,,,,,,,,,1,0,0
comet-0502-select,,,,,,,,,,,,,,0.69,0.0,,1.1,0.27,,9.62,73.98,,0.95,0.54,,,,,,,,,,,,,,,,,1,0,0
comet-0503,,,,,,,,,,,,,,0.54,0.03,,0.07,0.09,,10.86,52.42,,0.66,0.36,,,,,,,,,,,,,,,,,1,0,0
comet-0504-select,,,,,,,,,,,,,,0.0,0.0,,12.53,0.07,,3.41,33.61,,0.46,0.19,,,,,,,,,,,,,,,,,1,0,0
comm,,,,,,,,0.41,,,,,0.0,,0.07,,0.18,0.0,,0.0,0.57,,0.0,0.0,,,11.14,0.42,,,,,0.14,0.13,,,0.08,,0.03,,1,0,0
commerce-city-kush,,,0.0,0.085,,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.16499999999999998,0.0,0.01,0.125,0.255,0.06,0.0,0.61,0.305,0.0,0.10500000000000001,0.395,0.0,0.0,,37.4,,,0.13,0.1,,0.025,,,,1.05,0.2,13.0,0,2,0
commerce-city-kush-fse,,,0.0,0.0,,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.18,0.0,0.03,0.09,0.19,0.03,0.0,0.39,0.02,0.0,0.01,0.12,0.0,0.0,,68.7,,,0.45,0.5,,0.47,,,,2.96,0.63,,0,1,0
commerce-x-leroy-tk,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.03,0.08,0.28,0.24,0.0,0.55,0.59,0.03,0.12,0.43,0.0,0.0,,62.2,,,0.42,0.36,,0.52,,,,2.07,0.65,,0,1,0
competitors-test-xl-cartridge,,,,,,,,0.0,,,,,0.0,,0.0,,1.12,2.93,,3.02,11.16,,0.0,0.0,,,6.51,31.15,0.38,,,0.13,0.53,1.16,,,0.24,,2.2,,1,0,0
compound-x,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008,,5.02,53.33,0.0,0.07,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1
con-1,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,93.7,,,0.47,0.66,,0.21,,,,0.65,0.87,,0,1,0
con-2,,,0.0,0.0,,0.0,0.0,0.015,0.0,0.0,0.015,0.0,0.005,0.0,0.0,0.05,0.055,0.0,0.0,0.12,0.005,0.0,0.0,0.005,0.0,0.0,,85.44999999999999,,,0.45499999999999996,0.9550000000000001,,1.245,,,,0.995,0.825,,0,2,0
con-3,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.005,0.0,0.0,0.065,0.02,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,,87.35,,,0.5900000000000001,1.085,,0.63,,,,1.095,1.02,,0,2,0
con-4,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,,85.65,,,0.26,1.1,,0.43,,,,0.78,0.7649999999999999,,0,2,0
con-419,,,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.78,0.0,0.0,0.23,0.66,0.45,0.0,1.79,1.6,0.0,0.46,3.38,0.0,0.0,,47.3,,,0.29,0.35,,0.5,,,,2.89,0.78,,0,1,0
con-5,,,0.0,0.0,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,89.5,,,0.55,1.34,,1.17,,,,0.53,1.1,,0,1,0
con-508,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.8,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0,1,0
concentrate,,,0.0,0.0,,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.023333333333333334,0.0,0.19666666666666666,0.0,1.96,0.13666666666666666,0.02,0.5066666666666667,0.04666666666666667,0.02,0.0,0.35000000000000003,0.0,0.01,10.27,52.34,,,0.0,1.5266666666666666,0.14,0.7899999999999999,,,1.01,0.775,1.7566666666666666,,2,1,0
concentrate-ge,,,,,,0.0,0.003,0.129,0.0,0.006,0.058,0.0,0.083,0.0,0.011,0.201,0.294,0.03,0.0,0.873,0.057,,0.022,0.07200000000000001,0.0,0.0,,,,,,,,,,,,,,,0,0,1
concept-e,,,,,,0.0,0.018000000000000002,0.002,0.0,0.008,0.0,0.0,0.14933333333333335,0.0,0.0016666666666666668,0.020333333333333335,0.15166666666666664,0.056999999999999995,0.0,0.5053333333333333,0.624,,0.11033333333333332,0.6110000000000001,0.0,0.0,,1.5933333333333335,0.0,25.846666666666664,0.0,0.0,0.023333333333333334,0.0,0.0,0.0,0.8633333333333334,0.11,0.0,,0,0,3
concept-k,,,,,,0.0,0.003,0.0034999999999999996,0.0,0.0,0.0,0.0,0.0675,0.0,0.001,0.13,0.1845,0.018000000000000002,0.0,0.6525000000000001,0.009000000000000001,,0.0325,0.189,0.0,0.0,,0.81,0.015,23.915,0.0,0.0,0.02,0.0,0.0,0.0,1.1749999999999998,0.04,0.0,,0,0,2
concrescent-confections-co2,,,,,,,,,,,,,,,,,,,,,,,,,,,39.94,24.05,,,,1.36,0.62,0.35,,,,1.53,0.41,,1,0,0
concrescent-confections-delta-9,,,,,,,,0.0,,,,,0.0,,0.17,,2.28,0.41,,0.0,0.0,,0.0,0.0,,,0.08,86.27,,,,3.02,,0.34,,,,2.67,2.21,,1,0,0
concrescent-confections-the-hashashins,,,,,,,,0.0,,,,,0.0,,0.51,,0.15,0.32,,0.0,0.0,,0.0,0.0,,,3.85,23.86,,,,7.96,,0.19,,,0.37,0.97,0.75,,1,0,0
concrete-genetics-pkk-nightmare-og,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35100000000000003,0.0,0.0,0.0,0.326,0.044,0.0,1.188,0.738,,0.125,0.8640000000000001,0.0,0.0,,1.71,0.0,73.17,0.0,0.0,0.39,0.0,0.0,0.0,2.19,0.28,0.0,,0,0,1
cone,,,,,,,,0.0,,,,,0.0,,0.0,,0.18,0.0,,0.0,0.05,,0.0,0.0,,,11.39,2.03,,,,0.24,0.97,0.3,,,0.37,,0.07,,1,0,0
cone-12,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,1.4,,0.97,0.0,,0.0,0.0,,,7.58,8.79,,,,0.24,0.48,0.04,,,0.68,0.3,0.37,,1,0,0
confidential-cheese,,,,,,0.0,0.01,0.13640000000000002,0.011,0.01,0.008,0.0,0.4718,0.0,0.1,0.154,1.1245999999999998,0.17340000000000003,0.0,0.3018,0.1944,,0.028800000000000003,0.47379999999999994,0.0,0.0,15.334444444444447,0.8822222222222222,0.3566666666666667,72.69,0.07,0.062,0.11571428571428573,0.09833333333333334,0.0,0.0,0.5142857142857143,0.1325,0.08666666666666667,,9,0,1
confidential-cheese-45-micron-1st-run-bubble-hash,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,5.77,1.22,,,0.72,,,,,,,,,1,0,0
confidential-cheese-tr,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.1,0.02,0.21,0.26,0.02,0.44,0.22,0.03,0.07,0.23,0.02,0.01,,54.8,,,0.17,0.13,,1.21,,,,3.29,0.8,,0,1,0
congo-1,,,,,,,,0.45,,,,,2.8,,0.23,,0.18,0.0,,0.23,1.6,,0.0,0.0,,,11.84,0.37,,,,,0.13,0.23,,,0.9,,0.02,,1,0,0
congo-2,,,,,,,,0.71,,,,,3.0,,0.6,,0.0,0.0,,0.17,1.98,,0.0,0.0,,,12.23,0.36,,,,,0.13,,,,0.35,,0.03,,1,0,0
congo-chem,,,,,,0.0,0.016,0.276,0.06,0.0,0.182,0.0,0.086,0.0,0.027000000000000003,0.28600000000000003,0.198,0.07200000000000001,0.0,0.605,0.115,,0.058,0.086,0.0,0.0,,3.25,0.0,60.71,0.13,0.0,0.31,0.0,0.0,0.0,0.84,0.18,0.0,,0,0,1
connected-cannabis-co-smarties-flower-rosin,,,,,,0.0,0.025,0.069,0.003,0.005,0.0,0.002,0.33,0.126,0.023,0.481,0.897,0.273,0.0,2.579,0.6559999999999999,,0.279,1.236,0.0,0.0,,1.58,0.0,72.03,0.0,0.0,0.2,0.0,0.0,0.0,1.67,0.27,0.0,,0,0,1
connected-cannabis-co-wifi-43-flower-rosin,,,,,,0.0,0.026000000000000002,0.07450000000000001,0.0,0.0115,0.0,0.0115,0.4345,0.0,0.037500000000000006,0.40149999999999997,0.913,0.08399999999999999,0.0,2.8225,1.722,,0.2045,1.3435,0.0,0.0,,2.6550000000000002,0.0,72.0,0.0,0.0,0.16999999999999998,0.0,0.0,0.0,1.755,0.29000000000000004,0.0,,0,0,2
connected-cannabis-company-gelato-41,,,,,,0.0,0.015,0.006999999999999999,0.0,0.003,0.0,0.0,0.194,0.044,0.006,0.063,0.13,0.061,0.0,0.474,0.17600000000000002,,0.108,0.5820000000000001,0.0,0.0,,0.47,0.0,20.33,0.0,0.0,0.05,0.0,0.0,0.0,0.82,0.05,0.0,,0,0,1
connected-cannabis-company-smarties,,,,,,0.0,0.022,0.008,0.0,0.006,0.0,0.001,0.237,0.08900000000000001,0.015,0.034,0.156,0.165,0.0,0.463,0.303,,0.177,0.8,0.0,0.0,,0.35,0.0,23.56,0.0,0.0,0.05,0.0,0.0,0.0,0.36,0.1,0.0,,0,0,1
connected-co-gelato-45-rosin,,,,,,0.0,0.0,0.134,0.0,0.011,0.0,0.0,0.69,0.0,0.05,0.024,0.17600000000000002,0.0,0.0,0.544,0.047,,0.027000000000000003,0.481,0.0,0.0,,8.91,0.0,71.28,0.0,0.07,0.16,0.0,0.0,0.0,1.52,0.62,0.29,,0,0,1
connected-x-rez-candyland-rosin,,,,,,0.0,0.017,0.095,0.0,0.0,0.0,0.0,0.398,0.0,0.0,0.245,0.629,0.041,0.0,1.485,0.047,,0.08,0.301,0.0,0.0,,11.48,0.0,61.79,0.0,0.0,0.15,0.0,0.0,0.0,4.6,0.97,0.79,,0,0,1
connected-x-rez-gelato-45-rosin,,,,,,0.0,0.009000000000000001,0.042,0.0,0.006,0.0,0.0,0.235,0.0,0.01,0.052000000000000005,0.195,0.041,0.0,0.547,0.02,,0.047,0.116,0.0,0.0,,48.11,0.37,25.72,0.33,2.34,0.15,0.12,0.0,0.0,0.23,1.62,0.0,,0,0,1
connie-chung,,,,,,,,0.22826086956521738,,,,,1.1573913043478259,,0.03347826086956522,,0.7182608695652175,0.5243478260869566,,0.5647826086956522,0.25521739130434784,,0.0,0.017391304347826087,,,16.812941176470588,0.4442424242424243,0.05,,,0.19666666666666666,0.11041666666666668,0.09952380952380956,,,0.5948387096774191,0.14000000000000004,0.048947368421052635,,34,0,0
connie-chung-6-weeks,,,,,,,,0.0,,,,,0.0,,0.0,,1.53,0.06,,0.16,0.0,,0.0,0.0,,,22.06,0.26,,,,,0.06,0.12,,,1.34,,0.06,,1,0,0
connie-chung-batch-180,,,,,,,,0.0,,,,,0.0,,0.0,,1.2,3.53,,2.08,0.0,,0.0,0.0,,,85.86,3.16,,,,,0.17,0.93,,,1.5,,0.18,,1,0,0
connie-chung-kief,,,,,,,,,,,,,,,,,,,,,,,,,,,18.79,2.6,,,,0.07,,,,,,,,,1,0,0
connie-chung-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,76.42,2.82,,,,,0.28,,,,,0.43,,,1,0,0
connie-chung-wax,,,,,,,,,,,,,,,,,,,,,,,,,,,78.94333333333334,3.5733333333333337,,,,0.9850000000000001,0.32,,,,,0.2833333333333334,,,3,0,0
connoisseur-union-x-rosin-brothers-gas-leak,,,,,,0.0,0.02,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.145,0.82,0.094,0.0,2.6,2.813,,0.204,1.224,0.0,0.0,,1.24,0.0,73.57,0.0,0.0,0.17,0.0,0.0,0.0,4.99,0.18,0.0,,0,0,1
connoisseur-union-x-rosin-brothers-zkittles,,,,,,0.0,0.032,0.119,0.0,0.014,0.0,0.0,0.688,0.0,0.021,0.425,2.046,0.104,0.0,4.914,0.079,,0.201,1.037,0.0,0.0,,1.38,0.0,70.78,0.0,0.0,0.15,0.0,0.0,0.0,2.29,0.21,0.0,,0,0,1
connor-cannabis-company-burmese-dream,,,,,,0.0,0.016,0.032,0.003,0.0,0.0,0.0,0.047,0.0,0.0,0.008,0.238,0.8320000000000001,0.0,0.816,1.202,,0.39,0.314,0.0,0.0,,0.45,0.0,22.81,0.0,0.0,0.05,0.0,0.0,0.0,0.39,0.07,0.02,,0,0,1
connor-cannabis-company-deep-purple,,,,,,0.012,0.005,0.026,0.002,0.0,0.048,0.006999999999999999,0.057,0.123,0.255,0.028,0.091,0.333,0.006,0.28300000000000003,1.345,,0.118,0.07400000000000001,0.004,0.0,,0.88,0.0,19.32,0.0,0.0,0.04,0.0,0.0,0.0,0.89,0.1,0.01,,0,0,1
connor-cannabis-company-derailed,,,,,,0.0,0.012,0.015,0.003,0.0,0.0,0.001,0.033,0.021,0.005,0.098,0.255,0.648,0.0,0.6559999999999999,0.8809999999999999,,0.202,0.182,0.0,0.0,,0.28,0.0,19.79,0.0,0.0,0.05,0.0,0.0,0.0,0.11,0.09,0.0,,0,0,1
connor-cannabis-company-grape-inferno,,,,,,0.0,0.006,0.006,0.003,0.0,0.095,0.01,0.021,0.381,0.003,0.017,0.07200000000000001,0.311,0.0,0.246,2.825,,0.101,0.085,0.0,0.0,,0.99,0.0,21.29,0.0,0.0,0.05,0.0,0.0,0.0,1.91,0.09,0.02,,0,0,1
connor-cannabis-company-hashplant,,,,,,0.023,0.006999999999999999,0.008,0.005,0.0,0.0,0.006999999999999999,0.009000000000000001,0.108,0.643,0.01,0.086,0.311,0.016,0.3,0.031,,0.189,0.182,0.009000000000000001,0.002,,0.43,0.0,12.36,0.0,0.0,0.02,0.0,0.0,0.0,0.86,0.01,0.0,,0,0,1
connor-cannabis-company-killer-grape,,,,,,0.013,0.006,0.006999999999999999,0.005,0.0,0.121,0.022,0.065,0.103,0.28800000000000003,0.04,0.032,0.312,0.005,0.098,1.388,,0.113,0.08,0.005,0.002,,0.3,0.0,20.48,0.0,0.0,0.06,0.0,0.0,0.0,0.22,0.07,0.0,,0,0,1
connor-cannabis-company-lemon-alien,,,,,,0.0,0.004,0.018000000000000002,0.011,0.0,0.001,0.0,0.027000000000000003,0.0,0.005,0.048,0.155,0.017,0.0,0.547,0.085,,0.03,0.188,0.0,0.0,,0.23,0.0,13.51,0.0,0.0,0.03,0.0,0.0,0.0,1.58,0.03,0.0,,0,0,1
