strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
09115kvrdip,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,56.53,5.61,,,,,0.21,0.47,,,1.9,,0.08,,1,0,0
09115kvrvac,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,61.71,5.81,,,,,0.2,0.46,,,2.06,,0.1,,1,0,0
091417lissr7,,,,,,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.059,0.0,0.002,0.035,0.085,0.017,0.0,0.272,0.171,,0.036000000000000004,0.149,0.0,0.0,,0.81,0.0,17.91,0.0,0.0,0.06,0.0,0.0,0.02,1.36,0.11,0.02,,0,0,1
091615fmont,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.1,,0.0,0.08,,0.0,0.0,,,,,,,,,,,,,,,,,1,0,0
091615rbf,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.8,90.99,,,,0.31,,0.29,,,,,0.4,,1,0,0
092,,,,,,,,0.0,,,,,0.0,,0.0,,0.35,0.15,,0.28,0.12,,0.0,0.0,,,16.86,0.45,,,,,0.06,0.13,,,0.12,,,,1,0,0
1,,,0.0,0.0,,0.0,0.01,0.30470588235294116,0.0,0.0,0.01,0.02,0.7352941176470589,0.0,0.037647058823529415,0.02,0.8882352941176472,0.5752941176470588,0.0,0.6029411764705882,0.2823529411764706,0.0,0.014117647058823528,0.4070588235294117,0.0,0.0,24.184347826086956,8.396296296296297,0.45,,0.10333333333333333,0.586875,0.3416666666666666,0.15684210526315787,,,1.0658823529411763,0.5900000000000001,0.3158823529411765,11.666666666666666,25,3,0
1-11,,,,,,,,0.0,,,,,0.0,,0.33,,0.0,0.0,,0.24,0.12,,0.0,0.0,,,7.07,0.51,,,,,,0.05,,,0.43,,0.02,,1,0,0
1-14,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.76,0.0,0.1,0.04,0.01,0.29,0.2,0.31,0.06,0.1,0.0,0.0,,11.5,,,0.1,0.11,,0.13,,,,1.34,0.32,17.0,0,1,0
1-8415,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.88,0.63,,,,,,,,,0.09,,,,1,0,0
