strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
blue-dream-4,,,,,,,,0.43,,,,,1.73,,0.77,,0.49,0.0,,0.71,0.88,,0.0,0.0,,,12.91,0.22,,,,0.08,0.13,,,,0.7,0.11,0.04,,2,0,0
blue-dream-4-star-dry-trim,,,,,,,,0.0,,,,,0.0,,1.99,,0.0,0.51,,0.0,0.98,,0.0,0.0,,,66.04,3.53,,,,,0.3,0.4,,,0.75,,0.15,,1,0,0
blue-dream-4509,,,,,,0.0,0.006999999999999999,0.006,0.0,0.0,0.0,0.0,0.015,0.0,0.001,0.03,0.048,0.517,0.0,0.14800000000000002,0.399,,0.229,0.063,0.0,0.0,,0.37,0.0,15.3,0.0,0.0,0.04,0.0,0.0,0.0,0.21,0.0,0.0,,0,0,1
blue-dream-495,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,2.2,,2.5,0.58,,0.0,0.0,,,50.17,20.77,,,,0.21,0.21,0.62,,,1.03,,0.32,,1,0,0
blue-dream-5,,,,,,,,0.0,,,,,2.22,,0.0,,0.14,0.0,,0.63,0.86,,0.0,0.0,,,16.619999999999997,0.355,,,,0.01,0.18,0.15,,,0.26,0.08,0.09,,2,0,0
blue-dream-53147,,,,,,0.0,0.003,0.005,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.013,0.033,0.14800000000000002,0.0,0.124,0.6,,0.086,0.087,0.0,0.0,,0.45,0.0,24.01,0.0,0.0,0.06,0.0,0.0,0.0,0.59,0.12,0.0,,0,0,1
blue-dream-6227,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05,0.76,,,,0.04,0.07,0.03,,,,0.07,,,1,0,0
blue-dream-669,,,,,,,,0.22,,,,,2.21,,0.0,,0.05,0.84,,0.43,0.26,,0.0,0.0,,,12.05,0.64,,,,,0.16,0.13,,,0.13,,,,1,0,0
blue-dream-7862,,,,,,,,,,,,,0.218,0.026,0.036000000000000004,,0.414,0.234,,0.677,0.264,,0.128,0.172,,,79.01,5.78,,,,0.25,4.03,0.67,,,,0.84,0.44,,1,0,0
blue-dream-7b02-a02-1,,,,,,,,0.0,,,,,0.0,,0.0,,0.25,0.34,,0.33,0.0,,0.0,0.0,,,25.56,0.53,,,,,0.07,0.17,,,0.31,,,,1,0,0
blue-dream-8579,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65,,,,,,,,,,,,,,1,0,0
blue-dream-8a-127,,,,,,,,0.34,,,,,3.22,,0.0,,0.56,1.37,,1.2,0.68,,0.0,0.0,,,18.45,0.64,,,,,0.19,0.21,,,0.2,,,,1,0,0
blue-dream-a,,,,,,,,1.36,,,,,0.0,,0.0,,0.0,0.06,,0.0,0.65,,0.0,0.0,,,13.946666666666667,0.46,,,,,0.04,0.2,,,0.14,0.065,0.03,,3,0,0
blue-dream-absolute,,,,,,,,0.0,,,,,0.0,,0.0,,0.96,0.39,,1.18,0.31,,0.0,0.0,,,32.55,41.77,,,,1.73,0.18,0.43,,,0.4,,0.63,,1,0,0
blue-dream-b,,,,,,,,,,,,,,,,,,,,,,,,,,,12.19,0.57,,,,,0.04,,,,,0.05,,,1,0,0
blue-dream-batch-789,,,,,,,,1.92,,,,,25.86,,1.34,,0.86,0.82,,1.99,0.0,,0.0,0.0,,,40.71,6.77,,,,0.03,0.66,1.14,,,1.58,,0.71,,1,0,0
blue-dream-batch-791,,,,,,,,1.71,,,,,26.27,,0.95,,1.04,0.53,,1.94,0.0,,0.0,0.0,,,38.95,6.46,,,,0.05,0.57,0.74,,,2.59,,0.59,,1,0,0
blue-dream-bruce,,,,,,,,0.0,,,,,0.0,,0.0,,0.25,0.0,,0.27,0.0,,0.0,0.0,,,24.74,0.5,,,,,0.06,0.2,,,0.32,,,,1,0,0
blue-dream-bubble-hash,,,,,,,,0.0,,,,,0.0,,1.175,,0.415,1.28,,1.175,0.85,,0.0,0.0,,,51.20000000000001,8.743333333333334,,,,0.675,0.09333333333333334,0.32,,,0.555,,0.26,,3,0,0
blue-dream-bubble-hash-rx,,,,,,,,,,,,,,,,,,,,,,,,,,,38.26,1.93,,,,,,,,,0.22,,,,1,0,0
blue-dream-c,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.18,,0.0,1.26,,0.0,0.0,,,23.3,0.49,,,,,0.09,0.23,,,0.19,,0.03,,1,0,0
blue-dream-cannabis-oil,,,,,,,,0.49,,,,,0.0,,0.0,,0.265,2.29,,0.745,0.0,,0.0,1.245,,,,81.45,,,,0.21,,0.165,,,,1.565,1.755,,2,0,0
blue-dream-caviar,,,,,,,,1.19,,,,,8.44,,0.86,,0.58,1.57,,1.34,0.4,,0.0,0.0,,,27.68,2.31,,,,,0.59,0.29,,,0.38,0.17,0.1,,1,0,0
blue-dream-ce-53301,,,,,,0.0,0.009000000000000001,0.004,0.0,0.0,0.0,0.0,0.069,0.0,0.003,0.02,0.04,0.315,0.0,0.151,1.002,,0.16699999999999998,0.153,0.0,0.0,,0.27,0.0,20.89,0.0,0.0,0.06,0.0,0.0,0.0,0.76,0.1,0.0,,0,0,1
blue-dream-co2,,,,,,,,0.0,,,,,0.0,,0.59,,1.1500000000000001,0.44333333333333336,,2.026666666666667,0.22,,0.0,0.0,,,48.82333333333333,17.083333333333332,,,,0.66,0.8766666666666668,0.8099999999999999,,,0.9766666666666667,,0.38999999999999996,,3,0,0
blue-dream-concentrate,,,,,,,,5.07,,,,,0.0,,0.0,,7.94,0.0,,1.42,0.0,,0.0,0.0,,,56.48,7.84,,,,0.11,0.14,0.29,,,1.32,,0.42,,1,0,0
blue-dream-dream-city,,,,,,,,,,,,,0.14400000000000002,0.0,0.162,,0.478,0.104,,0.93,0.263,,0.116,0.124,,,87.59,5.59,,,,0.3,2.2,0.56,,,,1.09,0.43,,1,0,0
blue-dream-ecc,,,,,,,,0.0,,,,,1.65,,0.0,,0.54,0.32,,0.84,1.2,,0.0,0.0,,,17.58,0.85,,,,,0.07,0.12,,,0.09,,0.04,,1,0,0
blue-dream-eh,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.06,0.06,0.0,0.21,0.13,0.02,0.06,0.27,0.0,0.0,,14.1,,,0.08,0.12,,0.14,,,,0.44,0.72,11.0,0,1,0
blue-dream-f,,,,,,,,0.66,,,,,2.64,,0.0,,0.37,0.32,,0.32,0.45,,0.0,0.0,,,10.48,0.94,,,,,0.14,0.06,,,0.18,,,,1,0,0
blue-dream-flower,,,,,,0.0013333333333333333,0.010333333333333332,0.010333333333333333,0.001,0.0,0.0,0.0,0.052333333333333336,0.009333333333333334,0.041,0.025000000000000005,0.09233333333333334,0.44833333333333325,0.0006666666666666666,0.24866666666666667,0.8433333333333334,,0.21066666666666667,0.09633333333333333,0.0006666666666666666,0.0,,0.8799999999999999,0.0033333333333333335,20.676666666666666,0.0,0.0033333333333333335,0.05333333333333334,0.0,0.0,0.0,0.44,0.05666666666666667,0.01,,0,0,3
blue-dream-flower-smalls,,,,,,0.0,0.004,0.016,0.003,0.0,0.0,0.0,0.034,0.0,0.0,0.061,0.116,0.29600000000000004,0.0,0.307,0.353,,0.12,0.048,0.0,0.0,,5.46,0.0,14.72,0.0,0.03,0.07,0.0,0.0,0.0,0.18,0.07,0.1,,0,0,1
blue-dream-g1,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,0.34,,,,0.06,0.08,,,,,,,,1,0,0
blue-dream-gb,,,,,,,,,,,,,,,,,,,,,,,,,,,18.39,2.27,,,,,,,,,,0.14,,,1,0,0
blue-dream-gh,,,,,,,,0.26,,,,,2.87,,0.0,,0.17,0.86,,0.61,0.4,,0.0,0.0,,,14.01,2.55,,,,,0.16,0.16,,,0.27,,0.2,,1,0,0
blue-dream-haze,,,0.0,0.0,,0.0,0.008,0.2965,0.0038,0.0,0.036,0.008400000000000001,0.277125,0.0708,0.04725,0.0488,0.506625,0.45112500000000005,0.0,0.345125,0.9898750000000001,0.09,0.13774999999999998,0.1025,0.0,0.0,24.313333333333333,2.3712500000000003,0.0,25.46,0.018,0.032,0.08571428571428572,0.07875,0.0,0.0,0.5157142857142858,0.20800000000000005,0.043750000000000004,11.0,3,1,4
blue-dream-haze-1,,,,,,,,0.0,,,,,0.0,,0.85,,0.26,0.11,,0.17,0.08,,0.0,0.0,,,24.79,1.16,,,,,0.06,0.11,,,1.76,,0.02,,1,0,0
blue-dream-haze-2,,,,,,,,0.0,,,,,0.0,,0.77,,0.32,0.0,,0.08,0.06,,0.0,0.0,,,22.49,1.06,,,,,0.06,0.17,,,1.22,,0.02,,1,0,0
blue-dream-honeycomb,,,,,,,,0.0,,,,,0.0,,0.0,,1.08,0.0,,1.3,0.17,,0.0,0.0,,,79.5,6.7,,,,0.03,0.18,0.48,,,0.49,,0.22,,1,0,0
blue-dream-indoor,,,,,,,,0.0,,,,,0.0,,0.0,,1.28,0.82,,0.0,1.08,,0.0,0.0,,,23.51,1.2,,,,0.03,0.1,,,,0.2,,0.09,,1,0,0
blue-dream-iso,,,,,,,,0.0,,,,,0.0,,0.28,,0.0,0.0,,1.6,0.0,,0.0,0.0,,,0.22,65.2,0.2,,,1.19,,0.39,,,0.05,1.67,2.85,,1,0,0
blue-dream-j,,,,,,,,0.26,,,,,4.37,,0.0,,0.36,1.01,,0.72,0.59,,0.0,0.0,,,15.66,0.56,,,,,0.19,0.18,,,0.25,,0.06,,1,0,0
blue-dream-jooz-eho,,,,,,,,2.96,,,,,0.0,,0.74,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,54.03,0.27,,,0.26,,0.31,,,0.08,1.69,1.12,,1,0,0
blue-dream-kief,,,,,,,,0.1225,,,,,1.6775,,0.3875,,0.5825,0.4775,,0.39,0.195,,0.0,0.0,,,21.521666666666665,4.058333333333334,,,,0.2475,0.1325,0.13333333333333333,,,0.36,0.19,0.105,,6,0,0
blue-dream-leaf,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.25,0.0,,0.0,0.0,,,2.5,0.14,,,,0.27,0.1,,,,,,,,1,0,0
blue-dream-lore-of-the-dell,,,,,,,,0.0,,,,,0.0,,0.0,,0.76,0.05,,0.0,0.57,,0.0,0.0,,,16.25,0.67,,,,,0.05,,,,0.11,,,,1,0,0
blue-dream-marscapone-7079,,,,,,,,,,,,,0.175,0.027000000000000003,0.01,,1.029,1.745,,1.525,0.8490000000000001,,0.919,0.345,,,75.56,2.53,,,,,0.34,0.06,,,,0.53,,,1,0,0
blue-dream-moroccan-hash,,,,,,,,,,,,,,,,,,,,,,,,,,,22.17,1.79,,,,0.05,,,,,,,,,1,0,0
blue-dream-n-26-a,,,,,,,,1.19,,,,,10.85,,0.0,,0.18,2.01,,2.17,1.68,,0.0,0.0,,,50.94,1.98,,,,0.79,0.6,0.45,,,1.37,,0.32,,1,0,0
blue-dream-non-solvent,,,,,,,,1.66,,,,,6.9,,0.58,,0.51,0.0,,1.28,0.0,,0.0,0.0,,,57.53,1.81,,,,,0.52,0.79,,,0.44,,0.12,,1,0,0
blue-dream-od,,,,,,,,0.0,,,,,0.0,,0.0,,1.88,3.13,,0.39,1.14,,0.0,0.0,,,22.53,1.88,,,,0.01,0.08,0.21,,,0.31,,0.04,,1,0,0
blue-dream-oil,,,,,,,,1.125,,,,,5.06,,0.68,,0.6799999999999999,0.0,,0.96,0.0,,0.0,0.0,,,22.14,59.6,1.81,,,3.75,0.46,0.41000000000000003,,,0.42000000000000004,2.045,0.98,,2,0,0
blue-dream-ok,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56,0.55,,,,,,,,,,0.03,,,1,0,0
blue-dream-organic,,,,,,,,0.0,,,,,0.0,,0.0,,1.33,1.52,,0.0,1.02,,0.0,0.0,,,23.21,0.92,,,,,0.1,0.16,,,0.26,,0.08,,1,0,0
blue-dream-original-diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,56.24,2.57,,,,,,,,,1.64,0.36,,,1,0,0
blue-dream-pgho-vape-pen-cart-050-mg,,,,,,,,0.74,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,4.18,,,1.52,31.34,,,,0.34,0.35,0.28,,,0.04,0.46,1.4,,1,0,0
blue-dream-pure-co2-b-44,,,,,,,,0.0,,,,,0.0,,0.94,,1.5,0.39,,2.9,0.0,,0.0,0.0,,,34.88,22.44,,,,0.49,0.2,0.44,,,0.59,,0.59,,1,0,0
blue-dream-queen-aka-pine-queen-dream-3,,,,,,,,0.7,,,,,1.84,,0.0,,0.44,0.73,,1.61,0.72,,0.0,0.0,,,14.69,0.47,,,,,0.18,0.05,,,0.28,0.26,0.12,,1,0,0
blue-dream-r2,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.03,0.04,0.15,0.0,0.1,0.17,0.0,0.04,0.03,0.0,0.0,,0.01,0.01,11.23,0.01,0.01,0.36,0.01,,,0.47,0.01,0.01,7.8,0,1,0
blue-dream-rjh3003,,,,,,,,0.98,,,,,6.05,,0.0,,0.0,0.0,,3.9,0.0,,0.0,0.0,,,29.65,35.61,,,,0.56,0.62,0.63,,,0.94,0.74,0.97,,1,0,0
blue-dream-rso,,,,,,,,,,,,,0.219,0.0,0.0,,0.56,0.142,,1.236,0.14300000000000002,,0.057,0.046,,,,65.79,,,,0.04,,0.43,,,,4.2,2.72,,1,0,0
blue-dream-rx,,,,,,,,,,,,,,,,,,,,,,,,,,,16.11,0.345,0.38,,,0.10250000000000001,0.07,0.16,,,,,,,4,0,0
blue-dream-santa-rosa,,,,,,,,0.0,,,,,0.0,,0.0,,0.32,0.17,,0.37,0.15,,0.0,0.0,,,18.26,0.27,,,,,0.06,0.1,,,0.12,,,,1,0,0
blue-dream-sg-sat,,,,,,0.0,0.014,0.011,0.005,0.0,0.0,0.005,0.053,0.0,0.005,0.043,0.093,0.813,0.0,0.24,1.0759999999999998,,0.362,0.121,0.0,0.0,,0.7,0.0,23.09,0.0,0.0,0.08,0.0,0.0,0.03,0.25,0.04,0.0,,0,0,1
blue-dream-shatter-bho,,,,,,,,,,,,,,,,,,,,,,,,,,,50.41,1.46,,,,0.27,0.15,,,,,,,,1,0,0
blue-dream-sky-walker-crumb,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,2.64,,0.0,0.0,,0.0,0.0,,,82.2,7.13,,,,0.03,0.16,0.64,,,1.38,0.24,0.21,,1,0,0
blue-dream-sky-walker-shatter,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,2.22,,0.0,0.0,,0.0,0.0,,,78.53,4.27,,,,,0.18,0.52,,,1.58,0.33,0.13,,1,0,0
blue-dream-spp,,,,,,,,0.0,,,,,0.0,,0.0,,1.49,1.27,,0.27,1.26,,0.0,0.0,,,27.22,0.47,,,,,0.08,0.11,,,0.16,,0.04,,1,0,0
blue-dream-super-critical-co2,,,,,,,,0.0,,,,,0.0,,0.56,,0.4,0.665,,0.775,0.15,,0.0,2.03,,,21.384999999999998,32.575,,,,1.31,0.135,0.32,,,0.325,1.38,1.06,,2,0,0
blue-dream-super-soil,,,,,,,,0.0,,,,,0.0,,0.0,,0.59,1.01,,0.61,0.12,,0.0,0.0,,,26.76,0.46,,,,0.01,0.07,0.17,,,0.16,,,,1,0,0
blue-dream-t3,,,,,,0.0,0.006,0.004,0.002,0.0,0.0,0.0,0.017,0.0,0.001,0.034,0.053,0.339,0.0,0.152,0.5329999999999999,,0.154,0.07,0.0,0.0,,0.76,0.0,19.99,0.0,0.0,0.08,0.0,0.0,0.0,0.17,0.03,0.0,,0,0,1
blue-dream-thdiscreate,,,,,,,,0.02,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.03,0.63,,,,0.02,,,,,,,0.02,,1,0,0
blue-dream-vape-pen,,,,,,,,0.0,,,,,0.0,,0.0,,1.19,0.36,,1.19,0.99,,0.0,0.0,,,41.93,1.67,,,,,0.09,0.29,,,0.18,,,,1,0,0
blue-dream-wax,,,,,,,,0.0,,,,,0.0,,0.0,,0.4125,0.0425,,2.0125,0.045,,0.0,0.195,,,78.74599999999998,3.9579999999999997,,,,0.08666666666666667,0.30799999999999994,0.485,,,2.3675,1.11,0.192,,5,0,0
blue-dream-wax-co2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59,2.73,,,,,,,,,,,,,1,0,0
blue-dream-white-widow-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,56.33,5.13,,,,,,,,,0.1,,,,1,0,0
blue-dream-whole-plant,,,,,,,,,,,,,0.221,0.041499999999999995,0.1885,,1.2095,0.186,,3.4305000000000003,0.196,,0.12000000000000001,0.29600000000000004,,,28.115000000000002,23.215,,,,0.265,1.0050000000000001,1.01,,,,1.0050000000000001,1.305,,2,0,0
blue-dream-x-ak-47-exhaustive-purge,,,,,,,,,,,,,,,,,,,,,,,,,,,59.25,2.8,,,,,,,,,,0.2,,,1,0,0
blue-dream-x-blueberry,,,,,,,,0.53,,,,,3.64,,0.0,,0.25,0.81,,0.55,1.16,,0.0,0.0,,,14.1,1.21,,,,,0.14,0.2,,,0.27,,0.08,,1,0,0
blue-dream-x-hash-plant,,,,,,,,,,,,,,,,,,,,,,,,,,,16.740000000000002,0.5599999999999999,,,,,,,,,0.01,0.115,,,2,0,0
blue-dream-x-sour-diesel,,,,,,,,0.52,,,,,1.32,,0.0,,0.54,0.96,,0.0,1.57,,0.0,0.0,,,16.41,0.76,,,,,0.16,0.13,,,0.4,,0.07,,1,0,0
blue-dreamcinex-trim-shatter,,,,,,,,,,,,,,,,,,,,,,,,,,,64.17,5.65,,,,0.7,,0.91,,,,0.55,,,1,0,0
blue-dynamite,,,,,,,,0.0,,,,,0.654,,0.034,,0.638,0.182,,0.136,0.284,,0.0,0.0,,,6.750000000000001,0.2857142857142857,0.02,,,0.0925,5.887142857142856,0.20600000000000002,,,0.514,,0.052500000000000005,,7,0,0
blue-dynomite,,,,,,,,0.16399999999999998,,,,,0.596,,0.0,,0.04,0.26599999999999996,,0.152,0.094,,0.0,0.142,,,4.01,0.6366666666666667,0.135,,,0.18000000000000002,8.303999999999998,0.5559999999999999,,,0.7460000000000001,0.6699999999999999,0.096,,6,0,0
blue-dynomite-cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,,,0.16,8.21,,,,0.41,,,,1,0,0
blue-dynomite-organic-cbd,,,,,,,,,,,,,0.105,0.015,0.0,,0.332,0.06,,1.015,0.317,,0.076,0.335,,,3.25,0.16,,,,0.16,10.04,0.19,,,,0.05,0.02,,1,0,0
blue-fire,,,,,,,,,,,,,0.009000000000000001,0.0,0.0,,0.093,0.716,,0.227,0.246,,0.258,0.14,,,22.04,0.36,,,,,0.09,0.06,,,,0.17,,,1,0,0
blue-fox,,,,,,,,0.0,,,,,0.0,,0.58,,0.28,0.09,,0.53,0.4,,0.0,0.0,,,23.51,1.28,,,,,0.06,0.09,,,0.35,,0.02,,1,0,0
blue-frost,,,,,,0.0,0.0105,0.0105,0.0005,0.0,0.003,0.0,0.08650000000000001,0.0,0.005750000000000001,0.0505,0.133,0.50225,0.0,0.35400000000000004,1.2620000000000002,,0.2405,0.21425,0.0,0.0,,1.2475,0.0,23.012500000000003,0.0025,0.005,0.06,0.0,0.0,0.0,0.7100000000000001,0.0925,0.0125,,0,0,4
blue-frost-1,,,,,,0.0,0.01,0.01,0.0,0.0,0.004,0.0,0.058,0.0,0.005,0.033,0.107,0.349,0.0,0.308,0.945,,0.177,0.206,0.0,0.0,,0.64,0.0,22.99,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.11,0.0,,0,0,1
blue-frost-2,,,,,,0.0,0.011,0.011,0.001,0.001,0.002,0.0,0.073,0.001,0.002,0.045,0.113,0.359,0.0,0.32299999999999995,0.992,,0.188,0.218,0.001,0.0,,0.64,0.0,22.43,0.0,0.0,0.05,0.0,0.0,0.0,0.85,0.1,0.0,,0,0,1
blue-frost-raw-r010,,,,,,,,,,,,,,,,,,,,,,,,,,,44.24,8.68,,,,0.17,,,,,0.28,0.07,,,1,0,0
blue-frost-refined-rr010,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,59.91,,,,,,,,,,,,,1,0,0
blue-glue,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.079,0.0,0.0,0.108,0.421,0.0,0.259,0.942,,0.182,0.11,0.0,0.0,,1.51,0.0,14.75,0.0,0.0,0.02,0.0,0.0,0.0,0.17,0.05,0.0,,0,0,1
blue-god,,,,,,,,0.41,,,,,2.28,,0.0,,0.98,0.0,,1.05,0.47,,0.0,0.0,,,15.36,0.43,,,,,0.17,0.13,,,0.23,0.04,0.08,,2,0,0
blue-goo,,,,,,,,0.28,,,,,2.57,,0.0,,0.28,0.9,,0.66,1.26,,0.0,0.0,,,15.22,0.38,,,,,0.17,0.2,,,0.21,,,,1,0,0
blue-harley,,,,,,,,0.0,,,,,0.0,,0.0,,0.59,0.08,,0.7,0.13,,0.0,0.0,,,10.12,0.33,,,,,8.11,0.25,,,0.53,,0.03,,1,0,0
blue-hash,,,,,,,,0.0,,,,,0.0,,0.0,,1.45,0.0,,0.44,0.91,,0.0,0.0,,,14.275,0.74,,,,0.02,0.04,0.19,,,0.25,,0.02,,2,0,0
blue-hash-plant-sg-ind,,,,,,0.0,0.01,0.009000000000000001,0.0,0.0,0.008,0.008,0.002,0.111,0.006,0.039,0.049,0.233,0.0,0.18600000000000005,2.496,,0.145,0.394,0.0,0.0,,1.51,0.0,14.21,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.04,,,0,0,1
blue-hawaii,,,,,,,,0.0,,,,,0.0,,0.0,,1.45,0.0,,0.72,0.79,,0.0,0.0,,,20.5,0.9,,,,0.01,0.08,0.09,,,0.5,,0.04,,1,0,0
blue-hawaiian,,,,,,,,0.07888888888888888,,,,,0.9244444444444445,,0.04777777777777778,,0.8866666666666667,0.41333333333333333,,0.9011111111111112,0.40444444444444444,,0.0,0.32222222222222224,,,14.32214285714286,0.612142857142857,,,,0.03,0.09000000000000001,0.11750000000000001,,,0.18666666666666665,0.1,0.043333333333333335,,14,0,0
blue-hawaiian-hash,,,,,,,,1.62,,,,,11.79,,0.4,,1.47,1.78,,3.26,0.63,,0.0,0.0,,,42.02,0.9,,,,,0.53,0.28,,,4.33,,0.31,,1,0,0
blue-haze,,,,,,0.0,0.009000000000000001,0.1115,0.004,0.002,0.0,0.0,0.005,0.0,0.000375,0.07400000000000001,0.4545,0.249125,0.0,0.577375,0.27325,,0.02175,0.03375,0.0,0.0,22.362857142857145,1.8225,0.0,8.48,0.0,0.10500000000000001,0.05625,0.13125,0.0,0.0,0.18999999999999997,0.52,0.034999999999999996,,7,0,1
blue-haze-bubble-hash-mmpn,,,,,,,,0.0,,,,,0.0,,0.0,,1.15,0.0,,1.33,0.0,,0.0,0.0,,,78.16,5.08,,,,0.11,0.34,0.54,,,0.67,,,,1,0,0
blue-headband,,,,,,,,0.0,,,,,0.0,,0.0,,3.08,0.9,,4.49,0.0,,0.0,0.0,,,25.08,51.42,,,,0.35,0.24,0.5,,,0.38,0.37,0.49,,1,0,0
blue-heisenberg,,,,,,,,0.0,,,,,0.0,,0.09,,1.235,0.0,,0.15,0.525,,0.0,0.0,,,13.26,0.53,,,,0.05,4.66,0.18,,,0.385,,0.03,,2,0,0
blue-hell-rx,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99,0.12,,,,0.03,,,,,,,,,1,0,0
blue-heron,,,,,,,,0.624,,,,,1.1620000000000001,,0.094,,0.7639999999999999,0.466,,0.254,0.42000000000000004,,0.0,0.466,,,14.198571428571427,0.4628571428571428,0.04,,,0.02,0.115,0.16166666666666665,,,0.27599999999999997,0.1,0.048,,7,0,0
blue-heron-3,,,,,,,,0.89,,,,,2.0,,0.0,,1.66,0.83,,0.36,1.6,,0.0,0.0,,,15.91,0.51,,,,,0.15,0.19,,,0.33,0.31,0.05,,1,0,0
blue-heron-gooball,,,,,,,,0.26,,,,,0.68,,0.0,,0.25,0.88,,0.0,0.27,,0.0,0.92,,,7.02,0.16,,,,,0.14,0.09,,,0.13,,,,1,0,0
blue-icee-og,0.0,0.0,,,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.02,0.04,0.12,0.08,0.0,0.3,0.27,0.04,0.1,0.57,0.01,0.0,,0.68,0.01,15.5,0.01,0.01,0.01,0.01,,,0.59,0.01,0.01,9.63,0,1,0
blue-jack,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.06,,0.0,0.05,,0.0,0.0,,,14.969999999999999,0.565,,,,0.02,0.045000000000000005,0.12,,,0.51,,0.02,,2,0,0
blue-knight-by-south-lake-farms,,,,,,0.0,0.015,0.011,0.0,0.0,0.0,0.0,0.14300000000000002,0.039,0.008,0.181,0.104,0.199,0.0,0.342,0.03,,0.14800000000000002,0.468,0.0,0.0,,0.63,0.02,17.87,0.04,0.0,0.06,0.0,0.0,0.05,0.07,0.03,0.0,,0,0,1
blue-kush,,,,,,,,0.0,,,,,0.0,,0.0,,0.73,0.0,,0.49,0.05,,0.0,0.0,,,20.65,0.59,,,,,0.09,0.14,,,0.41,,,,1,0,0
blue-kush-b,,,,,,,,0.0,,,,,0.0,,0.0,,0.64,0.19,,0.19,0.0,,0.0,0.0,,,15.07,0.5,,,,,0.03,0.08,,,0.65,,,,1,0,0
blue-lavender,,,,,,,,0.0,,,,,0.0,,0.0,,0.21,0.19,,0.21,0.22,,0.0,0.0,,,18.59,0.54,,,,,0.05,0.18,,,0.42,,,,1,0,0
blue-lemon-candy,,,,,,,,,,,,,0.122,0.013,0.132,,0.319,0.086,,0.8270000000000001,0.081,,0.057,0.094,,,80.18,9.89,,,,0.1,,,,,,0.63,0.32,,1,0,0
blue-lemon-cookie,,,,,,,,,,,,,,,,,,,,,,,,,,,20.88,1.74,,,,,,,,,,0.2,0.02,,1,0,0
blue-lemon-thai,,,,,,0.0,0.008,0.302,0.0,0.0,0.097,0.0,0.582,0.0,0.050666666666666665,0.011,0.35200000000000004,0.01,0.0,0.07633333333333334,0.4613333333333333,,0.021666666666666667,0.6466666666666666,0.0,0.0,8.75,0.68,0.0,21.46,0.0,0.0,0.10000000000000002,0.02,0.0,0.0,0.16,0.13,0.02,,2,0,1
blue-lights,,,,,,0.0,0.006999999999999999,0.006999999999999999,0.0,0.0,0.0,0.003,0.052000000000000005,0.0,0.005,0.036000000000000004,0.097,0.279,0.0,0.262,0.615,,0.136,0.126,0.0,0.0,,0.49,0.0,19.69,0.0,0.0,0.05,0.0,0.0,0.0,0.48,0.04,0.0,,0,0,1
blue-lime-pie-3a,,,,,,,,0.0,,,,,0.0,,0.0,,0.86,0.23,,0.25,0.05,,0.0,0.0,,,26.57,0.46,,,,,0.11,0.16,,,0.68,,,,1,0,0
blue-lime-pie-5,,,,,,,,0.0,,,,,0.0,,0.0,,0.82,0.0,,0.81,0.0,,0.0,0.0,,,25.58,0.74,,,,,0.08,0.13,,,0.21,,0.03,,1,0,0
