,image_url,desc_url
38,https://media.allbud.com/resized/350x242/media/images/strain/opium/3303/fvcri9chohjv12qzpxdj.jpg,https://www.allbud.com/marijuana-strains/hybrid/opium
39,https://media.allbud.com/resized/350x242/media/images/strain/thc-bomb/9743/qrk24g0ysv71rkfuskzl.jpg,https://www.allbud.com/marijuana-strains/hybrid/thc-bomb
40,https://media.allbud.com/resized/350x242/media/images/strain/skywalker-kush/5666/orkcbadhvl6nz2wsigu3.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/skywalker-kush
41,https://media.allbud.com/resized/350x242/media/feature/strain/diamond-og.jpg,https://www.allbud.com/marijuana-strains/hybrid/diamond-og
42,https://media.allbud.com/resized/350x242/media/images/strain/cookies/7257/s4praadajum8okukmhou.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/cookies
43,https://media.allbud.com/resized/350x242/media/feature/strain/sour-og.jpg,https://www.allbud.com/marijuana-strains/hybrid/sour-og
44,https://media.allbud.com/resized/350x242/media/images/strain/purple-punch/GvG7oLEL/15138733459071253419644jpg.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/purple-punch
45,https://media.allbud.com/resized/350x242/media/feature/strain/flo.jpg,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/flo
46,https://media.allbud.com/resized/350x242/media/images/strain/haze-wreck/5339/poen8vsuxzpk4kkjnt2m.jpg,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/haze-wreck
47,https://media.allbud.com/resized/350x242/media/images/strain/black-triangle/EqUKmMZB/black-trianglejpg.jpg,https://www.allbud.com/marijuana-strains/indica/black-triangle
48,https://media.allbud.com/resized/350x242/media/feature/flower/walker-kush_qDr6z3G.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/walker-kush
49,https://media.allbud.com/resized/350x242/media/images/strain/sunset-sherbert/N1Psba9H/20180118_133625jpg.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/sunset-sherbert
50,https://media.allbud.com/resized/350x242/media/feature/strain/durban-poison.jpg,https://www.allbud.com/marijuana-strains/sativa/durban-poison
51,https://media.allbud.com/resized/350x242/media/feature/strain/cannatonic.jpg,https://www.allbud.com/marijuana-strains/hybrid/cannatonic
52,https://media.allbud.com/resized/350x242/media/feature/strain/super-lemon-haze.jpg,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/super-lemon-haze
53,https://media.allbud.com/resized/350x242/media/feature/strain/amnesia-haze.jpg,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/amnesia-haze
54,https://media.allbud.com/resized/350x242/media/feature/strain/blueberry.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/blueberry
55,https://media.allbud.com/resized/350x242/media/images/strain/chronic/xVzU7ndk/20180727_230528jpg.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/chronic
56,https://media.allbud.com/resized/350x242/media/images/strain/dakini-kush/8236/t6sd66zjhwhd4nudvlqn.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/dakini-kush
57,https://media.allbud.com/resized/350x242/media/images/strain/tutankhamon/2740/ggt61mjiqanqgimpqkfl.jpg,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/tutankhamon
58,https://media.allbud.com/resized/350x242/media/images/strain/serious-happiness/tm3CR5Oo/serious-happinessjpg.jpg,https://www.allbud.com/marijuana-strains/hybrid/serious-happiness
59,https://media.allbud.com/resized/350x242/media/images/strain/gorilla-glue/M12UraJe/1519997025116559366981jpg.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/gorilla-glue
60,https://media.allbud.com/resized/350x242/media/images/strain/granddaddy-purple/v7juALee/20190408_195308jpg.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/granddaddy-purple
61,https://media.allbud.com/resized/350x242/media/images/strain/captains-cake/sHY3hY3G/15362552017001525808327829652509jpg.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/captains-cake
62,https://media.allbud.com/resized/350x242/media/images/strain/blissful-wizard/qszyHOVG/20180613_201728jpg.jpg,https://www.allbud.com/marijuana-strains/hybrid/blissful-wizard
63,https://media.allbud.com/resized/350x242/media/images/strain/cherry-cookies/5162/rojuangjhtod2njj58fh.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/cherry-cookies
64,https://media.allbud.com/resized/350x242/media/images/strain/banana-split/ZievPVgl/1570921014239473321755jpg.jpg,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/banana-split
65,https://media.allbud.com/resized/350x242/media/feature/strain/dr-who.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/dr-who
66,https://media.allbud.com/resized/350x242/media/feature/strain/mendocino-purps.jpg,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/mendocino-purps
67,https://media.allbud.com/resized/350x242/media/feature/strain/big-bud.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/big-bud
68,https://media.allbud.com/resized/350x242/media/images/strain/skywalker-og/AIitoEtF/20180314_174234jpg.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/skywalker-og
69,https://media.allbud.com/resized/350x242/media/images/strain/pineapple-cookies/te2QcAzy/766b059f-013c-498b-92a4-760f1628e827jpe.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/pineapple-cookies
70,https://media.allbud.com/resized/350x242/media/images/strain/lemon-meringue/rJnEiwH6/lemon-meringuewebp.jpg,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/lemon-meringue
71,https://media.allbud.com/resized/350x242/media/images/strain/blue-kripple/5090/ebosx8z0nzmeomdx3hfj.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/blue-kripple
72,https://dddx9gs6zfr8i.cloudfront.net/static/images/infocard-default-hybrid.6b34d1350a1c.png,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/inzane-membrane
73,https://media.allbud.com/resized/350x242/media/feature/strain/purple-chemdawg.jpg,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/purple-chemdawg
74,https://media.allbud.com/resized/350x242/media/feature/strain/pineapple-chunk.jpg,https://www.allbud.com/marijuana-strains/hybrid/pineapple-chunk
