index,Strain,Type,Rating,Effects,Flavor,Description,full_descriptions
0,100-og,hybrid,4,"creative,energetic,tingly,euphoric,relaxed","earthy,sweet,citrus","$100 og is a 50/50 hybrid strain that packs a strong punch. the name supposedly refers to both its strength and high price when it first started showing up in hollywood. as a plant, $100 og tends to produce large dark green buds with few stems. users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.","100-og hybrid creative,energetic,tingly,euphoric,relaxed earthy,sweet,citrus $100 og is a 50/50 hybrid strain that packs a strong punch. the name supposedly refers to both its strength and high price when it first started showing up in hollywood. as a plant, $100 og tends to produce large dark green buds with few stems. users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side."
1,98-white-widow,hybrid,4.7,"relaxed,aroused,creative,happy,energetic","flowery,violet,diesel","the ‘98 aloha white widow is an especially potent cut of white widow that has grown in renown alongside hawaiian legends like maui wowie and kona gold. this white widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. this one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 aloha white widow is available from pua mana 1st hawaiian pakalōlō seed bank.  ","98-white-widow hybrid relaxed,aroused,creative,happy,energetic flowery,violet,diesel the ‘98 aloha white widow is an especially potent cut of white widow that has grown in renown alongside hawaiian legends like maui wowie and kona gold. this white widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. this one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 aloha white widow is available from pua mana 1st hawaiian pakalōlō seed bank.  "
2,1024,sativa,4.4,"uplifted,happy,relaxed,energetic,creative","spicy/herbal,sage,woody","1024 is a sativa-dominant hybrid bred in spain by medical seeds co. the breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a thc powerhouse with a sweet and spicy bouquet. subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. one specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.","1024 sativa uplifted,happy,relaxed,energetic,creative spicy/herbal,sage,woody 1024 is a sativa-dominant hybrid bred in spain by medical seeds co. the breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a thc powerhouse with a sweet and spicy bouquet. subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. one specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense."
3,13-dawgs,hybrid,4.2,"tingly,creative,hungry,relaxed,uplifted","apricot,citrus,grapefruit","13 dawgs is a hybrid of g13 and chemdawg genetics bred by canadian lp delta 9 biotech. the two potent strains mix to create a balance between indica and sativa effects. 13 dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. the effects of 13 dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.","13-dawgs hybrid tingly,creative,hungry,relaxed,uplifted apricot,citrus,grapefruit 13 dawgs is a hybrid of g13 and chemdawg genetics bred by canadian lp delta 9 biotech. the two potent strains mix to create a balance between indica and sativa effects. 13 dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. the effects of 13 dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite."
4,24k-gold,hybrid,4.6,"happy,relaxed,euphoric,uplifted,talkative","citrus,earthy,orange","also known as kosher tangie, 24k gold is a 60% indica-dominant hybrid that combines the legendary la strain kosher kush with champion sativa tangie to create something quite unique. growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. most phenotypes will exhibit a sweet orange aroma from the tangie along with the dark coloration of the kosher kush, and will offer a strong citrus flavor when smoked or vaped. thc levels range from 18% to 24%; definitely not for novice users! ","24k-gold hybrid happy,relaxed,euphoric,uplifted,talkative citrus,earthy,orange also known as kosher tangie, 24k gold is a 60% indica-dominant hybrid that combines the legendary la strain kosher kush with champion sativa tangie to create something quite unique. growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. most phenotypes will exhibit a sweet orange aroma from the tangie along with the dark coloration of the kosher kush, and will offer a strong citrus flavor when smoked or vaped. thc levels range from 18% to 24%; definitely not for novice users! "
5,3-bears-og,indica,0,none,none,"3 bears og by mephisto genetics is an autoflowering cross of bear og, karma’s og cut, and triangle kush. this indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. mephisto genetics describes 3 bears og as a cornerstone to their artisanal collection, blending the best attributes of the fabled og kush with a compact, controllable growth structure. the 3 bears og has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.","3-bears-og indica none none 3 bears og by mephisto genetics is an autoflowering cross of bear og, karma’s og cut, and triangle kush. this indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. mephisto genetics describes 3 bears og as a cornerstone to their artisanal collection, blending the best attributes of the fabled og kush with a compact, controllable growth structure. the 3 bears og has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep."
6,3-kings,hybrid,4.4,"relaxed,euphoric,happy,uplifted,hungry","earthy,sweet,pungent","the 3 kings marijuana strain, a holy trinity of headband, sour diesel, and og kush, is a sativa-dominant hybrid and genetic masterpiece. sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 kings’ potency. medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.","3-kings hybrid relaxed,euphoric,happy,uplifted,hungry earthy,sweet,pungent the 3 kings marijuana strain, a holy trinity of headband, sour diesel, and og kush, is a sativa-dominant hybrid and genetic masterpiece. sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 kings’ potency. medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation."
7,303-og,indica,4.2,"relaxed,happy,euphoric,uplifted,giggly","citrus,pungent,earthy","the indica-dominant 303 og is a colorado strain bred by crossing pre-98 bubba kush and chemdawg. its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. the happy euphoria induced by 303 og may help patients treating depression, anxiety, and stress disorders.","303-og indica relaxed,happy,euphoric,uplifted,giggly citrus,pungent,earthy the indica-dominant 303 og is a colorado strain bred by crossing pre-98 bubba kush and chemdawg. its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. the happy euphoria induced by 303 og may help patients treating depression, anxiety, and stress disorders."
8,3d-cbd,sativa,4.6,"uplifted,focused,happy,talkative,relaxed","earthy,woody,flowery","3d cbd from snoop dogg’s branded line of cannabis strains was crafted with patients in mind. with a thc:cbd ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. consumers susceptible to thc-induced anxiety may also appreciate the sobering, relaxing balance cbd has to offer.","3d-cbd sativa uplifted,focused,happy,talkative,relaxed earthy,woody,flowery 3d cbd from snoop dogg’s branded line of cannabis strains was crafted with patients in mind. with a thc:cbd ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. consumers susceptible to thc-induced anxiety may also appreciate the sobering, relaxing balance cbd has to offer."
9,3x-crazy,indica,4.4,"relaxed,tingly,happy,euphoric,uplifted","earthy,grape,sweet","also known as optimus prime, the indica-dominant 3x crazy is a three-way cross between og kush, bubba kush, and granddaddy purple. its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its bubba kush parent. this indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. the relaxing effects induced by 3x crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. ","3x-crazy indica relaxed,tingly,happy,euphoric,uplifted earthy,grape,sweet also known as optimus prime, the indica-dominant 3x crazy is a three-way cross between og kush, bubba kush, and granddaddy purple. its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its bubba kush parent. this indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. the relaxing effects induced by 3x crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. "
10,3rd-coast-panama-chunk,hybrid,4.7,"energetic,happy,talkative,uplifted","pine,diesel","3rd coast panama chunk by bedford grow is a cross between east coast panama chunk (panama f7 x deep chunk) and sour diesel. this vigorous strain creates dense, resinous buds that reek of pine and fuel. panama chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. the strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain. ","3rd-coast-panama-chunk hybrid energetic,happy,talkative,uplifted pine,diesel 3rd coast panama chunk by bedford grow is a cross between east coast panama chunk (panama f7 x deep chunk) and sour diesel. this vigorous strain creates dense, resinous buds that reek of pine and fuel. panama chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. the strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain. "
11,501st-og,hybrid,4.5,"relaxed,euphoric,sleepy,happy,talkative","earthy,pine,skunk","501st og, bred by rare dankness, is an indica-dominant hybrid that crosses skywalker og with rare dankness #1. the colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. the potent indica effects make 501st og a great nighttime strain to help with pain relief and trouble sleeping.","501st-og hybrid relaxed,euphoric,sleepy,happy,talkative earthy,pine,skunk 501st og, bred by rare dankness, is an indica-dominant hybrid that crosses skywalker og with rare dankness #1. the colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. the potent indica effects make 501st og a great nighttime strain to help with pain relief and trouble sleeping."
12,5th-element,indica,4.4,"relaxed,focused,euphoric,uplifted,aroused","earthy,woody,pine","elemental seeds crossed blackberry with all spark og to create this impressive strain. 5th element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. the effects are quite strong with a good mix of cerebral and body highs.","5th-element indica relaxed,focused,euphoric,uplifted,aroused earthy,woody,pine elemental seeds crossed blackberry with all spark og to create this impressive strain. 5th element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. the effects are quite strong with a good mix of cerebral and body highs."
13,707-headband,hybrid,4.3,"euphoric,happy,uplifted,talkative,creative","earthy,woody,pungent","this strain emerged from the humboldt county, california and that area’s telephone area code is the source of its numerical moniker. it’s a cross between sour diesel, og kush and master kush. 707 headband plants flower in 9 to 11 weeks and usually have large yields. an indica dominant hybrid, this strain is known to have high thc levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. because of this, it’s often used to treat tension and anxiety.","707-headband hybrid euphoric,happy,uplifted,talkative,creative earthy,woody,pungent this strain emerged from the humboldt county, california and that area’s telephone area code is the source of its numerical moniker. it’s a cross between sour diesel, og kush and master kush. 707 headband plants flower in 9 to 11 weeks and usually have large yields. an indica dominant hybrid, this strain is known to have high thc levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. because of this, it’s often used to treat tension and anxiety."
14,8-ball-kush,indica,4.3,"relaxed,uplifted,happy,creative,euphoric","citrus,earthy,pine","bred by barney’s farm, 8 ball kush is a pure indica variety descended from an afghani landrace strain. like many other cannabis varieties that come from the hindu kush region, 8 ball kush produces large amounts of crystal resin that blanket the buds. its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. a hardy and resilient plant, 8 ball kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of september.","8-ball-kush indica relaxed,uplifted,happy,creative,euphoric citrus,earthy,pine bred by barney’s farm, 8 ball kush is a pure indica variety descended from an afghani landrace strain. like many other cannabis varieties that come from the hindu kush region, 8 ball kush produces large amounts of crystal resin that blanket the buds. its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. a hardy and resilient plant, 8 ball kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of september."
15,818-og,indica,4.7,"relaxed,happy,euphoric,giggly,sleepy","earthy,diesel,flowery","named after the telephone area code of the san fernando valley in los angeles, 818 og is an og kush strain popular with patients for treating pain, loss of appetite, and insomnia. not to be confused with the other og cut named for the locale, the 818 og has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the sfv og. ","818-og indica relaxed,happy,euphoric,giggly,sleepy earthy,diesel,flowery named after the telephone area code of the san fernando valley in los angeles, 818 og is an og kush strain popular with patients for treating pain, loss of appetite, and insomnia. not to be confused with the other og cut named for the locale, the 818 og has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the sfv og. "
16,831-og,indica,5,none,none,"831 og, aka santa cruz og, is an indica-dominant strain developed by 831 organiks. created by crossing the rare and potent inferno f1 cut with the west coast mainstay, sfv og, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. the aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% thc.  ","831-og indica none none 831 og, aka santa cruz og, is an indica-dominant strain developed by 831 organiks. created by crossing the rare and potent inferno f1 cut with the west coast mainstay, sfv og, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. the aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% thc.  "
17,9-pound-hammer,indica,4.5,"relaxed,sleepy,euphoric,happy,hungry","earthy,sweet,berry","9 pound hammer is an 80% indica strain that crosses gooberry, hells og, and jack the ripper. these dense buds are coated in resin, offering sweet grape and lime flavors. true to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. best grown indoors, 9 pound hammer will deliver a heavy yield, flowering between 50 and 60 days.","9-pound-hammer indica relaxed,sleepy,euphoric,happy,hungry earthy,sweet,berry 9 pound hammer is an 80% indica strain that crosses gooberry, hells og, and jack the ripper. these dense buds are coated in resin, offering sweet grape and lime flavors. true to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. best grown indoors, 9 pound hammer will deliver a heavy yield, flowering between 50 and 60 days."
18,91-krypt,indica,4.7,"relaxed,euphoric,happy,hungry,uplifted","earthy,pungent,berry","91 krypt by dna genetics is a potent strain by many names. bred from the chemdawg ‘91 stock crossed with dna’s famous captain krypt og, this strain was created for high potency cannabis consumers. it emits a deep, dank terpene profile that fills the room with skunk and swampy earth. with a thc content pushing over 20% on average, enjoy 91 krypt to stimulate appetite while harnessing full body relaxation.","91-krypt indica relaxed,euphoric,happy,hungry,uplifted earthy,pungent,berry 91 krypt by dna genetics is a potent strain by many names. bred from the chemdawg ‘91 stock crossed with dna’s famous captain krypt og, this strain was created for high potency cannabis consumers. it emits a deep, dank terpene profile that fills the room with skunk and swampy earth. with a thc content pushing over 20% on average, enjoy 91 krypt to stimulate appetite while harnessing full body relaxation."
19,a-10,indica,3.8,"relaxed,focused,happy,sleepy,uplifted","citrus,pungent,sweet","a-10 has an earthy, hashy taste that provides a very heavy body stone.  frequently used to treat insomnia and chronic pain.","a-10 indica relaxed,focused,happy,sleepy,uplifted citrus,pungent,sweet a-10 has an earthy, hashy taste that provides a very heavy body stone.  frequently used to treat insomnia and chronic pain."
20,a-dub,hybrid,4.4,"relaxed,happy,euphoric,uplifted,sleepy","diesel,pepper,earthy","coming from the ever-popular sour diesel, og kush, and chemdawg family tree, a-dub has a solid reputation for its potency. this hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. sour double (a sour diesel/sour bubble cross) and alien dawg (alien technology crossed with chemdawg) combine to birth this magnificent flower.","a-dub hybrid relaxed,happy,euphoric,uplifted,sleepy diesel,pepper,earthy coming from the ever-popular sour diesel, og kush, and chemdawg family tree, a-dub has a solid reputation for its potency. this hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. sour double (a sour diesel/sour bubble cross) and alien dawg (alien technology crossed with chemdawg) combine to birth this magnificent flower."
21,a-train,hybrid,4.1,"creative,euphoric,relaxed,happy,hungry","earthy,woody,citrus",a-train is a hybrid between mazar i sharif and the clone-only arcata e-32 trainwreck.  this hybrid gives you the classic stoned feeling.  be ready for smiles and munchies when you jump on the a-train.,"a-train hybrid creative,euphoric,relaxed,happy,hungry earthy,woody,citrus a-train is a hybrid between mazar i sharif and the clone-only arcata e-32 trainwreck.  this hybrid gives you the classic stoned feeling.  be ready for smiles and munchies when you jump on the a-train."
22,acdc,hybrid,4.5,"relaxed,happy,uplifted,focused,euphoric","earthy,pine,woody","acdc is a sativa-dominant phenotype of the high-cbd cannabis strain, cannatonic. one remarkable characteristic of acdc is its thc:cbd ratio of 1:20, meaning this strain induces no psychoactive effects. tests have put acdc’s cbd content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.","acdc hybrid relaxed,happy,uplifted,focused,euphoric earthy,pine,woody acdc is a sativa-dominant phenotype of the high-cbd cannabis strain, cannatonic. one remarkable characteristic of acdc is its thc:cbd ratio of 1:20, meaning this strain induces no psychoactive effects. tests have put acdc’s cbd content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication."
23,ak-47,hybrid,4.2,"happy,relaxed,uplifted,euphoric,energetic","earthy,pungent,woody","don't let its intense name fool you: ak-47 will leave you relaxed and mellow. this sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. ak-47 mixes colombian, mexican, thai, and afghani varieties, bringing together a complex blend of flavors and effects. while ak-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. created in 1992 by serious seeds, ak-47 has won numerous cannabis cup awards around the world for its soaring thc content. for those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. ak-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of october.","ak-47 hybrid happy,relaxed,uplifted,euphoric,energetic earthy,pungent,woody don't let its intense name fool you: ak-47 will leave you relaxed and mellow. this sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. ak-47 mixes colombian, mexican, thai, and afghani varieties, bringing together a complex blend of flavors and effects. while ak-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. created in 1992 by serious seeds, ak-47 has won numerous cannabis cup awards around the world for its soaring thc content. for those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. ak-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of october."
24,ak-48,hybrid,4,"happy,energetic,uplifted,creative,relaxed","earthy,pungent,citrus","although it is a hybrid, the ak-48 high leans more towards typical sativa effects.  ak-48's parents are ice and jock horror.  its ice mother has ancestors of afghani, skunk, northern lights and shiva stock.","ak-48 hybrid happy,energetic,uplifted,creative,relaxed earthy,pungent,citrus although it is a hybrid, the ak-48 high leans more towards typical sativa effects.  ak-48's parents are ice and jock horror.  its ice mother has ancestors of afghani, skunk, northern lights and shiva stock."
25,aberdeen,hybrid,4.3,"uplifted,euphoric,giggly,energetic,sleepy","menthol,blue,cheese,chemical","aberdeen is a variety of agent orange grown by canadian lp aphria. like agent orange, aberdeen combines the genetics of orange velvet and jack the ripper to create a mix of sweet orange and citrus flavors. the happy, uplifting effects of aberdeen mirror agent orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.","aberdeen hybrid uplifted,euphoric,giggly,energetic,sleepy menthol,blue,cheese,chemical aberdeen is a variety of agent orange grown by canadian lp aphria. like agent orange, aberdeen combines the genetics of orange velvet and jack the ripper to create a mix of sweet orange and citrus flavors. the happy, uplifting effects of aberdeen mirror agent orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder."
26,abusive-og,indica,4.5,"relaxed,euphoric,sleepy,happy,giggly","earthy,pine,diesel","a popular californian cut of og kush, abusive og is an indica strain that inherited the nickname of its original grower. despite its violent name, abusive og will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. true to its og genetics, abusive og has an earthy spice aroma with subtle lemon undertones. patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. abusive og may not produce the highest yields in the garden, but makes up for it with resin-caked buds.","abusive-og indica relaxed,euphoric,sleepy,happy,giggly earthy,pine,diesel a popular californian cut of og kush, abusive og is an indica strain that inherited the nickname of its original grower. despite its violent name, abusive og will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. true to its og genetics, abusive og has an earthy spice aroma with subtle lemon undertones. patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. abusive og may not produce the highest yields in the garden, but makes up for it with resin-caked buds."
27,acapulco-gold,sativa,4.5,"happy,uplifted,euphoric,energetic,relaxed","earthy,sweet,pungent","one of the most well-known strains, acapulco gold has been likened to dinner at a five-star restaurant. the strain comes from the areas in and around acapulco, mexico. its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. an aroma of burnt toffee lingers when the bud is broken up. acapulco gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors. ","acapulco-gold sativa happy,uplifted,euphoric,energetic,relaxed earthy,sweet,pungent one of the most well-known strains, acapulco gold has been likened to dinner at a five-star restaurant. the strain comes from the areas in and around acapulco, mexico. its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. an aroma of burnt toffee lingers when the bud is broken up. acapulco gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors. "
28,ace-killer-og,indica,4.8,"relaxed,sleepy,euphoric,happy,uplifted","earthy,diesel,spicy/herbal","ace killer og is an indica strain that boasts a high thc content and a pungent diesel aroma. bred from white fire og, king’s kush, kosher kush, and a mystery strain, ace killer og inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.","ace-killer-og indica relaxed,sleepy,euphoric,happy,uplifted earthy,diesel,spicy/herbal ace killer og is an indica strain that boasts a high thc content and a pungent diesel aroma. bred from white fire og, king’s kush, kosher kush, and a mystery strain, ace killer og inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran."
29,ace-of-spades,indica,4.1,"relaxed,euphoric,happy,sleepy,hungry","earthy,sweet,woody","ace of spades is a creation from tga subcool seeds that takes advantage of the popular sweet and sour combination that never goes out of style. a crossbreed of black cherry soda and jack the ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. ace of spades plants grow fast and need a lot of space because they will get both bushy and tall. flowering occurs at 8 weeks and they are generally large and heavy. these buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.","ace-of-spades indica relaxed,euphoric,happy,sleepy,hungry earthy,sweet,woody ace of spades is a creation from tga subcool seeds that takes advantage of the popular sweet and sour combination that never goes out of style. a crossbreed of black cherry soda and jack the ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. ace of spades plants grow fast and need a lot of space because they will get both bushy and tall. flowering occurs at 8 weeks and they are generally large and heavy. these buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs."
30,aceh,sativa,4.4,"creative,euphoric,talkative,energetic,happy","earthy,mango,lemon","aceh, also called atjeh, refers to the sativa varieties of cannabis that come from the aceh region of indonesia. these sativas typically grow tall and thin, and are considered the finest among indonesia’s landrace varieties ","aceh sativa creative,euphoric,talkative,energetic,happy earthy,mango,lemon aceh, also called atjeh, refers to the sativa varieties of cannabis that come from the aceh region of indonesia. these sativas typically grow tall and thin, and are considered the finest among indonesia’s landrace varieties "
31,acid,hybrid,4.4,"creative,happy,euphoric,energetic,uplifted","lemon,diesel,earthy","acid is paradise seeds’ take on the original new york sour diesel. expect powerful body effects, including an uplifted, nearly psychedelic mental energy. this plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks. ","acid hybrid creative,happy,euphoric,energetic,uplifted lemon,diesel,earthy acid is paradise seeds’ take on the original new york sour diesel. expect powerful body effects, including an uplifted, nearly psychedelic mental energy. this plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks. "
32,acid-dough,sativa,5,"talkative,giggly,happy,hungry,relaxed",none,"acid dough by ripper seeds is a sativa-dominant strain with energetic effects. created by crossing lilly (queen mother x congo) x og badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. acid dough has an approximate 65-70 day flowering time and colorful foliage. this strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. acid dough won 2nd place best sativa at the 2017 spannabis champions cups and 2nd place at the 2016 expogrow cup. ","acid-dough sativa talkative,giggly,happy,hungry,relaxed none acid dough by ripper seeds is a sativa-dominant strain with energetic effects. created by crossing lilly (queen mother x congo) x og badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. acid dough has an approximate 65-70 day flowering time and colorful foliage. this strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. acid dough won 2nd place best sativa at the 2017 spannabis champions cups and 2nd place at the 2016 expogrow cup. "
33,afcrack,hybrid,3.4,"tingly,euphoric,happy,relaxed,uplifted","sweet,flowery,earthy","afcrack is a cannabis “speedball” of sorts. this strain incorporates afgoo and green crack, polar opposites on the spectrum of indica and sativa varieties, to create a pseudo-sedative experience that rests in the muscles while invigorating the heart and mind. with spicy earth notes that indicate its afghani heritage, this hybrid’s effects are situation-specific and will offer energy or sedation depending on the consumer’s level of activity.    ","afcrack hybrid tingly,euphoric,happy,relaxed,uplifted sweet,flowery,earthy afcrack is a cannabis “speedball” of sorts. this strain incorporates afgoo and green crack, polar opposites on the spectrum of indica and sativa varieties, to create a pseudo-sedative experience that rests in the muscles while invigorating the heart and mind. with spicy earth notes that indicate its afghani heritage, this hybrid’s effects are situation-specific and will offer energy or sedation depending on the consumer’s level of activity.    "
34,afghan-big-bud,indica,4,"euphoric,happy,relaxed,sleepy,talkative","pungent,lemon,peach","spawn from afghani and big bud, afghan big bud (or big bud afghani) is characterized as a large plant with broad leaves and thick stems. it has a dense appearance, similar to big bud, and maintains the taste of afghani, resulting in the best of both worlds. the effects come relatively quick but usually dissipate under two hours. ","afghan-big-bud indica euphoric,happy,relaxed,sleepy,talkative pungent,lemon,peach spawn from afghani and big bud, afghan big bud (or big bud afghani) is characterized as a large plant with broad leaves and thick stems. it has a dense appearance, similar to big bud, and maintains the taste of afghani, resulting in the best of both worlds. the effects come relatively quick but usually dissipate under two hours. "
35,afghan-cow,sativa,4.3,"focused,uplifted,happy,euphoric,talkative","sweet,vanilla","this sweet-smelling and resinous sativa breed from dr. krippling seeds is sure to keep you off the couch. afghan cow is bred from ash, kaya 47 (an ak-47 phenotype), and the beloved kali mist. the cerebral effects of this sativa are great for clear-headed daytime use. having a high yield both indoors and out, this is an impressive plant with even more impressive effects.","afghan-cow sativa focused,uplifted,happy,euphoric,talkative sweet,vanilla this sweet-smelling and resinous sativa breed from dr. krippling seeds is sure to keep you off the couch. afghan cow is bred from ash, kaya 47 (an ak-47 phenotype), and the beloved kali mist. the cerebral effects of this sativa are great for clear-headed daytime use. having a high yield both indoors and out, this is an impressive plant with even more impressive effects."
