index,Strain,Type,Rating,Effects,Flavor,Description,full_descriptions
314,blue-power,indica,4.7,"relaxed,tingly,happy,uplifted,euphoric","berry,earthy,sweet","the indica-dominant blue power is one of sin city seeds’ signature strains, bred from sour double, master kush, the white, and blue moonshine genetics. cherished for its fragrant buds, blue power offers a sweet fusion of lemon and berry flavors with an earthy finish. it should be noted that another genetic variation released by vision seeds crosses blueberry, white widow, and skunk #1. this rendition is described as a happy and uplifting indica that helps focus the mind while fighting stress.","blue-power indica relaxed,tingly,happy,uplifted,euphoric berry,earthy,sweet the indica-dominant blue power is one of sin city seeds’ signature strains, bred from sour double, master kush, the white, and blue moonshine genetics. cherished for its fragrant buds, blue power offers a sweet fusion of lemon and berry flavors with an earthy finish. it should be noted that another genetic variation released by vision seeds crosses blueberry, white widow, and skunk #1. this rendition is described as a happy and uplifting indica that helps focus the mind while fighting stress."
315,blue-rhino,hybrid,4.3,"sleepy,relaxed,focused,uplifted,hungry","blueberry,sweet,berry","blue rhino is a potent cross of blueberry and white rhino that has a unique fruity aroma mixed with some skunky harshness. this plant may be of special interest to growers for its large flowers, which will get to their most impressive size when grown outdoors. patients like this strain for its balanced mix of head and body effects, making it an option for staying focused or wanting to relax, depending on your needs.","blue-rhino hybrid sleepy,relaxed,focused,uplifted,hungry blueberry,sweet,berry blue rhino is a potent cross of blueberry and white rhino that has a unique fruity aroma mixed with some skunky harshness. this plant may be of special interest to growers for its large flowers, which will get to their most impressive size when grown outdoors. patients like this strain for its balanced mix of head and body effects, making it an option for staying focused or wanting to relax, depending on your needs."
316,blue-satellite,sativa,3.9,"uplifted,happy,euphoric,talkative,relaxed","sweet,blueberry,citrus","blue satellite, the sativa offspring of blueberry sativa and shishkaberry, is a strongly psychoactive strain with long-lasting effects. the dense, conic buds carry a sour scent redolent of ammonia and induce powerful cerebral effects including euphoria, creativity, and stress relief. its typically high thc content makes blue satellite a preferred daytime strain for appetite loss, nausea, glaucoma, and pain.","blue-satellite sativa uplifted,happy,euphoric,talkative,relaxed sweet,blueberry,citrus blue satellite, the sativa offspring of blueberry sativa and shishkaberry, is a strongly psychoactive strain with long-lasting effects. the dense, conic buds carry a sour scent redolent of ammonia and induce powerful cerebral effects including euphoria, creativity, and stress relief. its typically high thc content makes blue satellite a preferred daytime strain for appetite loss, nausea, glaucoma, and pain."
317,blue-sky,hybrid,4.6,"happy,relaxed,uplifted,euphoric,creative","earthy,sweet,pine","blue sky is the sweet, candy-flavored offspring of lsd and rocky mountain blueberry. this indica-leaning hybrid is a great choice for unwinding, relaxing, and inducing laughing fits. beautiful in appearance, these shimmering flowers give off blue and red hues when the light hits them. ","blue-sky hybrid happy,relaxed,uplifted,euphoric,creative earthy,sweet,pine blue sky is the sweet, candy-flavored offspring of lsd and rocky mountain blueberry. this indica-leaning hybrid is a great choice for unwinding, relaxing, and inducing laughing fits. beautiful in appearance, these shimmering flowers give off blue and red hues when the light hits them. "
318,blue-steel,indica,4.3,"uplifted,relaxed,euphoric,happy,creative","blueberry,pungent,earthy","blue steel by exotic genetix is an indica-dominant strain with fruit-forward flavors. created by crossing the pungent og blueberry and the cube, a starfighter f3 phenotype bred in-house, exotic genetix has outdone itself with this subtly sedative crowd-pleaser. the flavor and aroma are thick with the scent of blueberries and the nugs are smothered in a layer of frosty trichomes. enjoy this strain throughout the day to boost mood and appetite while promoting a creative headspace.  ","blue-steel indica uplifted,relaxed,euphoric,happy,creative blueberry,pungent,earthy blue steel by exotic genetix is an indica-dominant strain with fruit-forward flavors. created by crossing the pungent og blueberry and the cube, a starfighter f3 phenotype bred in-house, exotic genetix has outdone itself with this subtly sedative crowd-pleaser. the flavor and aroma are thick with the scent of blueberries and the nugs are smothered in a layer of frosty trichomes. enjoy this strain throughout the day to boost mood and appetite while promoting a creative headspace.  "
319,blue-thai,hybrid,3.7,"relaxed,happy,talkative,uplifted,focused","earthy,pungent,woody","blue thai by dinafem seeds is a hybrid strain from the netherlands that crosses blueberry and thai skunk. this fruity, mold-resistant strain offers the best results when grown outdoors, but also performs well indoors and finishes flowering after 8 weeks.","blue-thai hybrid relaxed,happy,talkative,uplifted,focused earthy,pungent,woody blue thai by dinafem seeds is a hybrid strain from the netherlands that crosses blueberry and thai skunk. this fruity, mold-resistant strain offers the best results when grown outdoors, but also performs well indoors and finishes flowering after 8 weeks."
320,blue-train,hybrid,4.4,"happy,uplifted,energetic,focused,relaxed","blueberry,berry,sweet","blue trainwreck is a sativa-dominant hybrid cross of trainwreck and blueberry. this strain, sometimes known as blueberry trainwreck, blue wreck, and blue train, is well-loved for its pleasurable blend of flavors and effects. it expresses trichome-laden spade-shaped buds that are emerald green with amber hairs. blue trainwreck offers a sweet blueberry aroma, pungent earthy flavors, and effects that energize and focus. utilize this hybrid to improve mood and combat fatigue. ","blue-train hybrid happy,uplifted,energetic,focused,relaxed blueberry,berry,sweet blue trainwreck is a sativa-dominant hybrid cross of trainwreck and blueberry. this strain, sometimes known as blueberry trainwreck, blue wreck, and blue train, is well-loved for its pleasurable blend of flavors and effects. it expresses trichome-laden spade-shaped buds that are emerald green with amber hairs. blue trainwreck offers a sweet blueberry aroma, pungent earthy flavors, and effects that energize and focus. utilize this hybrid to improve mood and combat fatigue. "
321,blue-trane,hybrid,0,none,none,"blue trane is a cut with a mysterious heritage. these seeds were acquired while colorado seed inc.’s head grower was cultivating strains in hawaii and have since been stabilized and sown elsewhere. known for its pleasant indica-dominant effects, blue trane offers an unexpectedly heady stimuli some have described as psychedelic that melts away into a relaxing body high that sticks to the bones.    ","blue-trane hybrid none none blue trane is a cut with a mysterious heritage. these seeds were acquired while colorado seed inc.’s head grower was cultivating strains in hawaii and have since been stabilized and sown elsewhere. known for its pleasant indica-dominant effects, blue trane offers an unexpectedly heady stimuli some have described as psychedelic that melts away into a relaxing body high that sticks to the bones.    "
322,blue-treat,hybrid,4.9,"relaxed,focused,happy,uplifted,creative","earthy,berry,blueberry","jordan of the islands matched two of the sweetest tasting flowers to make this candy of an strain. using blueberry and dutch treat genetics, blue treat was born. this short plant takes after its strong indica lineage, producing sticky resinous buds that can soothe your pain and relieve your stress. the dark green buds are covered in trichomes and give off a sweet berry aroma.","blue-treat hybrid relaxed,focused,happy,uplifted,creative earthy,berry,blueberry jordan of the islands matched two of the sweetest tasting flowers to make this candy of an strain. using blueberry and dutch treat genetics, blue treat was born. this short plant takes after its strong indica lineage, producing sticky resinous buds that can soothe your pain and relieve your stress. the dark green buds are covered in trichomes and give off a sweet berry aroma."
323,blue-velvet,hybrid,4.3,"happy,relaxed,euphoric,uplifted,focused","sweet,earthy,diesel","blue velvet, also known as blueberry thai, is a 50/50 hybrid strain that is named for the lush appearance of its plants. bred by dj short, blue velvet is a cross between purple thai and afghani. its long branches bloom with large red-purple buds that take on a sweet fruity and floral aroma. invigorating euphoria blankets the mind while the body finds light relaxation, and its functional effects make it easy to either explore creativity or socialize with friends. ","blue-velvet hybrid happy,relaxed,euphoric,uplifted,focused sweet,earthy,diesel blue velvet, also known as blueberry thai, is a 50/50 hybrid strain that is named for the lush appearance of its plants. bred by dj short, blue velvet is a cross between purple thai and afghani. its long branches bloom with large red-purple buds that take on a sweet fruity and floral aroma. invigorating euphoria blankets the mind while the body finds light relaxation, and its functional effects make it easy to either explore creativity or socialize with friends. "
324,blue-venom,hybrid,4.7,"relaxed,euphoric,happy,uplifted,hungry","pine,blueberry,berry","blue venom, an intoxicating indica-dominant hybrid by g13 labs, is a cross between the sweet-tasting blueberry and potent white widow. with a sweet, blueberry aroma inherited from its parent strain, blue venom’s frosty, dense buds promise a fast-acting and long-lasting experience. its full-body relaxation eventually progresses into a deep sedation, putting to rest any pain, stress, and sleeplessness.","blue-venom hybrid relaxed,euphoric,happy,uplifted,hungry pine,blueberry,berry blue venom, an intoxicating indica-dominant hybrid by g13 labs, is a cross between the sweet-tasting blueberry and potent white widow. with a sweet, blueberry aroma inherited from its parent strain, blue venom’s frosty, dense buds promise a fast-acting and long-lasting experience. its full-body relaxation eventually progresses into a deep sedation, putting to rest any pain, stress, and sleeplessness."
325,blue-widow,hybrid,4.2,"relaxed,happy,uplifted,euphoric,sleepy","sweet,berry,earthy","blue widow is a favorite strain that provides consumers with both uplifting and calming effects. these flowers will have a strong sweet aroma that may also include sour citrus or pine. the buds can be colorful, with tints of blue and purple, and should have a coat of long orange hairs. slightly indica-dominant, this widow plays against type, growing taller than most indicas and providing more mental, heady effects. in higher doses, the blissful relaxation this strain provides may lead to drowsiness and help you get to sleep. a cross between blueberry and white widow, blue widow is sometimes also called berry white, white berry, and blue venom.","blue-widow hybrid relaxed,happy,uplifted,euphoric,sleepy sweet,berry,earthy blue widow is a favorite strain that provides consumers with both uplifting and calming effects. these flowers will have a strong sweet aroma that may also include sour citrus or pine. the buds can be colorful, with tints of blue and purple, and should have a coat of long orange hairs. slightly indica-dominant, this widow plays against type, growing taller than most indicas and providing more mental, heady effects. in higher doses, the blissful relaxation this strain provides may lead to drowsiness and help you get to sleep. a cross between blueberry and white widow, blue widow is sometimes also called berry white, white berry, and blue venom."
326,blue-wonder,hybrid,5,"uplifted,happy,euphoric,focused,relaxed",blueberry,"blue wonder is a sativa-dominant hybrid originating from california as a distinct descendant of blue dream. originally bred from blueberry and super silver haze, blue wonder exhibits a profound level of cerebral invigoration while maintaining a classic blue dream body buzz. with a traditional blueberry aroma, blue wonder delivers gentle euphoria and swift relief for patients treating pain, depression, and nausea.","blue-wonder hybrid uplifted,happy,euphoric,focused,relaxed blueberry blue wonder is a sativa-dominant hybrid originating from california as a distinct descendant of blue dream. originally bred from blueberry and super silver haze, blue wonder exhibits a profound level of cerebral invigoration while maintaining a classic blue dream body buzz. with a traditional blueberry aroma, blue wonder delivers gentle euphoria and swift relief for patients treating pain, depression, and nausea."
327,blue-wreck,hybrid,4.7,"sleepy,happy,euphoric,relaxed,uplifted","blueberry,earthy,honey","blue wreck, also called blueberry trainwreck, is a hybrid strain primarily led by its sativa influence. a cross between blueberry and trainwreck, blue wreck’s flavor is a complex mix of sweet berry, sour fruit, and tangy skunk. its effects are typically described as clear-headed and active, with a burst of calm euphoria that can help you maintain a positive outlook throughout the day.","blue-wreck hybrid sleepy,happy,euphoric,relaxed,uplifted blueberry,earthy,honey blue wreck, also called blueberry trainwreck, is a hybrid strain primarily led by its sativa influence. a cross between blueberry and trainwreck, blue wreck’s flavor is a complex mix of sweet berry, sour fruit, and tangy skunk. its effects are typically described as clear-headed and active, with a burst of calm euphoria that can help you maintain a positive outlook throughout the day."
328,blue-zkittlez,indica,4.9,"aroused,creative,happy,relaxed,euphoric","berry,sweet,flowery","blue zkittlez by dying breed seeds is an indica-dominant cross of blue diamond and zkittlez. this odoriferous flower offers a terpene profile of tart citrus, sweet earth, and wildflowers. the physical effects of this strain are mellow and moderately sedating, igniting appetite while weighing on the limbs. its strong physical effects and uplifting mental high make it a perfect end-of-the-day strain and a nice match for folks contending with stress, restlessness, and pain.","blue-zkittlez indica aroused,creative,happy,relaxed,euphoric berry,sweet,flowery blue zkittlez by dying breed seeds is an indica-dominant cross of blue diamond and zkittlez. this odoriferous flower offers a terpene profile of tart citrus, sweet earth, and wildflowers. the physical effects of this strain are mellow and moderately sedating, igniting appetite while weighing on the limbs. its strong physical effects and uplifting mental high make it a perfect end-of-the-day strain and a nice match for folks contending with stress, restlessness, and pain."
329,blue-zombie,indica,4.7,"relaxed,euphoric,hungry,sleepy,happy","pungent,earthy,pepper","blue zombie (not to be confused with the zombie og strain lineage) is a full indica that boasts medical-grade potency and effects. with notes of fresh ground coffee, fuel, and skunky grape, this strain packs a surprising diverse array of terpenes. wrapping the mind in an uplifting, mood enhancing haze, blue zombie creeps onto the body with numbness and sedation within the first half hour. patients suffering from chronic pain may benefit greatly from this particular cut. ","blue-zombie indica relaxed,euphoric,hungry,sleepy,happy pungent,earthy,pepper blue zombie (not to be confused with the zombie og strain lineage) is a full indica that boasts medical-grade potency and effects. with notes of fresh ground coffee, fuel, and skunky grape, this strain packs a surprising diverse array of terpenes. wrapping the mind in an uplifting, mood enhancing haze, blue zombie creeps onto the body with numbness and sedation within the first half hour. patients suffering from chronic pain may benefit greatly from this particular cut. "
330,blueberry,indica,4.3,"relaxed,happy,euphoric,sleepy,uplifted","blueberry,berry,sweet","a true a-list cannabis strain. blueberry’s legendary status soared to new heights after claiming the high times’ cannabis cup 2000 for best indica. the long history of the strain is traced back to the late 1970s when american breeder dj short was working with a variety of exotic landrace strains. however, throughout the decades of blueberry’s cultivation the genetics have been passed around, due in large part to dj short working with multiple seed banks and breeders. the sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. many medical patients appreciate blueberry for its ability to suppress pain and relieve stress, while connoisseurs and growers admire the strain for its colorful hues and high thc content. ","blueberry indica relaxed,happy,euphoric,sleepy,uplifted blueberry,berry,sweet a true a-list cannabis strain. blueberry’s legendary status soared to new heights after claiming the high times’ cannabis cup 2000 for best indica. the long history of the strain is traced back to the late 1970s when american breeder dj short was working with a variety of exotic landrace strains. however, throughout the decades of blueberry’s cultivation the genetics have been passed around, due in large part to dj short working with multiple seed banks and breeders. the sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. many medical patients appreciate blueberry for its ability to suppress pain and relieve stress, while connoisseurs and growers admire the strain for its colorful hues and high thc content. "
